Outcome	Date	Tournament	Surface	Partner	Opponents in Final	Score in Final
Runner-up	June 18, 1989	Birmingham , England	Grass	Pam Shriver	Larisa Savchenko Natalia Zvereva	5–7, 7–5, 0–6
Winner	November 12, 1989	Nashville , Tennessee, USA	Hard	Manon Bollegraf	Natalia Medvedeva Leila Meskhi	1–6, 7–6, 7–6
Winner	February 11, 1990	Wichita , Kansas, USA	Hard	Manon Bollegraf	Mary-Lou Daniels Wendy Prausa	6–0, 6–2
Winner	August 12, 1990	Albuquerque , New Mexico, USA	Hard	Anne Smith	Mareen Louie-Harper Wendy Prausa	7–6, 6–4
Runner-up	September 16, 1990	Light 'n' Lively Doubles , USA	Carpet	Manon Bollegraf	Larisa Savchenko Natalia Zvereva	4–6, 1–6
Winner	November 4, 1990	Oakland , California, USA	Carpet	Anne Smith	Rosalyn Fairbank-Nideffer Robin White	2–6, 6–0, 6–4
Winner	November 11, 1990	Oakland , California, USA	Hard	Patty Fendick	Katrina Adams Jill Hetherington	6–1, 6–1
Winner	February 24, 1991	Oklahoma City , Oklahoma, USA	Hard	Anne Smith	Katrina Adams Jill Hetherington	6–1, 6–1
Winner	March 10, 1991	Boca Raton , Florida, USA	Hard	Samantha Smith	Larisa Savchenko-Neiland Natalia Zvereva	4–6, 6–7
Runner-up	April 18, 1993	Pattaya , Thailand	Hard	Patty Fendick	Cammy Macgregor Catherine Suire	3–6, 6–7
Winner	April 25, 1993	Kuala Lumpur , Maylasia	Hard	Patty Fendick	Nicole Arendt Kristine Radford	6–4, 7–6
Winner	October 17, 1993	Montpellier , France	Carpet	Claudia Porwik	Janette Husárová Dominique Monami	3–6, 6–2, 7–6
Winner	November 7, 1993	Oakland , California, USA	Carpet	Patty Fendick	Amanda Coetzer Inés Gorrochategui	6–2, 6–0
Winner	January 16, 1994	Sydney , Australia	Hard	Patty Fendick	Jana Novotná Arantxa Sánchez Vicario	6–2, 6–3
Runner-up	January 30, 1994	Australian Open , Australia	Hard	Patty Fendick	Gigi Fernández Natalia Zvereva	3–6, 6–4, 4–6
Winner	February 20, 1994	Oklahoma City , Oklahoma, USA	Hard	Patty Fendick	Katrina Adams Manon Bollegraf	7–6, 6–2
Runner-up	March 20, 1994	Key Biscayne , Florida, USA	Hard	Patty Fendick	Gigi Fernández Natalia Zvereva	3–6, 1–6
Winner	April 17, 1994	Pattaya , Thailand	Hard	Patty Fendick	Yayuk Basuki Nana Miyagi	7–6, 3–6, 6–3
Winner	April 24, 1994	Singapore	Hard	Patty Fendick	Nicole Arendt Krisine Radford	6–4, 6–1
Winner	August 21, 1994	Canadian Open , Canada	Hard	Arantxa Sánchez Vicario	Pam Shriver Liz Smylie	2–6, 6–2, 64
Winner	August 28, 1994	Schenectady , New York, USA	Hard	Larisa Savchenko	Pam Shriver Liz Smylie	6–2, 6–2
Winner	October 2, 1994	Leipzig , Germany	Carpet	Patty Fendick	Manon Bollegraf Larisa Savchenko	6–4, 6–4
Runner-up	October 9, 1994	Zurich , Switzerland	Carpet	Patty Fendick	Manon Bollegraf Martina Navratilova	6–7, 1–6
Winner	February 9, 1995	Paris , France	Hard	Larisa Savchenko	Manon Bollegraf Rennae Stubbs	6–4, 6–1
Winner	February 26, 1995	Linz , Austria	Carpet	Nathalie Tauziat	Iva Majoli Petra Schwarz	6–1, 6–2
Winner	May 27, 1995	Edinburgh , Scotland	Clay	Larisa Savchenko	Manon Bollegraf Rennae Stubbs	6–2, 7–6
Winner	September 23, 1995	Moscow , Russia	Carpet	Larisa Savchenko	Anna Kournikova Aleksandra Olsza	6–1, 6–1
Winner	October 1, 1995	Leipzig , Germany	Carpet	Larisa Savchenko	Brenda Schultz-McCarthy Caroline Vis	6–4, 6–4
Runner-up	October 15, 1995	Filderstadt , Germany	Hard	Larisa Savchenko	Gigi Fernández Natalia Zvereva	7–5, 1–6 4–6
Winner	October 22, 1995	Brighton , England	Carpet	Larisa Savchenko	Lori McNeil Helena Suková	7–5, 6–1
Runner-up	November 12, 1995	Philadelphia , Pennsylvania, USA	Carpet	Larisa Savchenko	Lori McNeil Helena Suková	6–4, 3–6, 4–6
Winner	February 25, 1996	Essen , Germany	Carpet	Larisa Savchenko	Lori McNeil Helena Suková	6–4, 3–6, 4–6
Winner	March 3, 1996	Linz , Austria	Carpet	Manon Bollegraf	Rennae Stubbs Helena Suková	6–4, 6–4
Runner-up	March 30, 1996	Key Biscayne , Florida, USA	Hard	Larisa Savchenko	Jana Novotná Arantxa Sánchez Vicario	4–6, 4–6
Runner-up	April 14, 1996	Amelia Island , Florida, USA	Clay	Larisa Savchenko	Chanda Rubin Arantxa Sánchez Vicario	4–6, 4–6
Winner	May 19, 1996	WTA German Open , Berlin, Germany	Clay	Larisa Savchenko	Martina Hingis Helena Suková	6–1, 5–7, 7–6
Runner-up	July 7, 1996	Wimbledon , England	Grass	Larisa Savchenko	Martina Hingis Helena Suková	7–5, 5–7, 1–6
Runner-up	January 17, 1998	Sydney , Australia	Hard	Katrina Adams	Martina Hingis Helena Suková	1–6, 2–6
