Position	Drivers	Class	Class Position	Laps
1	Frank Gardner , Kevin Bartlett	C	1	231
2	Steve Holland, Albert Poon	C	2	227
3	Bob Holden, Ron Haylen	D	1	217
4	John Newmarch, Dennis Dix	C	3	217
5	William Stanley, Digby Cooke	D	2	216
6	Max Volkers, Barry Broomhall	C	4	216
7	Rod Murphy, Terry Murphy	D	3	216
8	Brian Sampson, William Buckle	D	4	213
9	Fred Sutherland, Alan Mottram	A	1	213
10	Bob Jane , George Reynolds	C	5	212
11	Peter Brown, Ray Gulson	D	5	210
12	John Roxburgh, D Whiteford	B	1	209
13	Ron King, Alan King	E	1	209
14	Geoff Russell, Syd Fisher	C	6	207
15	Warren Weldon, Bill Slattery	A	2	207
16	Bill Burns, B Lawler	A	3	207
17	Ron Stelmack, Barry Coutts	B	2	206
18	John Peebles, Ross Edwards	A	4	205
19	Bob Brown, Gavin Bailieu	E	2	202
20	David Fraser, Brian McGrath	D	6	202
21	Ewan Fraser, B Hindhaugh	E	3	197
22	Brian Reed, Max Stewart	C	7	195
23	Les Palmer, Terry Morris	B	3	195
24	Don Preece, Dick Thurston	A	5	195
25	Pat Crea, Ron Grose	D	7	193
26	Garry Shoesmith, Anthony Robards	E	4	193
27	Dianne Leighton, Kaye Whiteford	E	5	182
28	Mal Bailey, J Hicks	C	8	181
29	Max Patterson, Ian Forde	E	6	178
