Shooter	Event	Rank points	Score points	Total
Giulia Iannotti ( ITA )	WCF 2007	Defending champion	Defending champion	Defending champion
Satu Mäkelä-Nummela ( FIN )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Zuzana Štefečeková ( SVK )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Corey Cogdell ( USA )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Theresa DeWitt ( USA )	WC Kerrville	15	14	29
Jessica Rossi ( ITA )	WC Suhl	15	13	28
Gao E ( CHN )	WC Beijing	15	12	27
Daniela Del Din ( SMR )	WC Suhl	10	14	24
Irina Laricheva ( RUS )	WC Kerrville	10	13	23
Anita North ( GBR )	WC Belgrade	10	10	20
Pak Yong Hui ( PRK )	WC Beijing	10	10	20
Liu Yingzi ( CHN )	WC Suhl	8	11	19
