Name	Circuit	Date	Winning driver	Winning constructor	Report
São Paulo Grand Prix	Interlagos	5 January	Chico Landi	Alfa Romeo	Report
General Juan Perón Grand Prix	Retiro	9 February	Luigi Villoresi	Maserati	Report
Eva Duarte Perón Grand Prix	Retiro	16 February	Luigi Villoresi	Maserati	Report
Rosario Grand Prix	Independence Park	2 March	Achille Varzi	Alfa Romeo	Report
Rafaela Grand Prix	Rafaela	20 March	Oscar Alfredo Gálvez	Alfa Romeo	Report
Interlagos Grand Prix	Interlagos	30 March	Achille Varzi	Alfa Romeo	Report
Pau Grand Prix	Pau	7 April	Nello Pagani	Maserati	Report
Rio de Janeiro Grand Prix	Gávea	21 April	Chico Landi	Alfa Romeo	Report
Roussillon Grand Prix	Perpignan	27 April	Eugène Chaboud	Talbot-Lago - Talbot	Report
Jersey Road Race	Saint Helier	8 May	Reg Parnell	Maserati	Report
Marseille Grand Prix	Prado	18 May	Eugène Chaboud	Talbot-Lago - Talbot	Report
Grand Prix des Frontières	Chimay	25 May	Yves Giraud-Cabantous	Maserati	Report
Nîmes Grand Prix	Nîmes	1 June	Luigi Villoresi	Maserati	Report
Challenges AGACI	Montlhéry	8 June	Maurice Varet	Delage	Report
Marne Grand Prix	Reims	6 July	Christian Kautz	Maserati	Report
Gransden Lodge	Gransden Lodge Airfield	12 July	Dennis Poore	Alfa Romeo	Report
Albi Grand Prix	Albi	13 July	Louis Rosier	Talbot-Lago - Talbot	Report
Bari Grand Prix	Lungomare	13 July	Achille Varzi	Alfa Romeo	Report
Bell Ville Grand Prix	Bell Ville	13 July	Oscar Alfredo Gálvez	Alfa Romeo	Report
Nice Grand Prix	Nice	20 July	Luigi Villoresi	Maserati	Report
Alsace Grand Prix	Strasbourg	3 August	Luigi Villoresi	Maserati	Report
Ulster Trophy	Ballyclare	9 August	Bob Gerard	ERA	Report
Comminges Grand Prix	Saint-Gaudens	10 August	Louis Chiron	Talbot-Lago - Talbot	Report
Montevideo Grand Prix	Playa Ramirez	17 August	Oscar Alfredo Gálvez	Alfa Romeo	Report
British Empire Trophy	Douglas	21 August	Bob Gerard	ERA	Report
Mar del Plata Grand Prix	El Torreon	21 September	Oscar Alfredo Gálvez	Alfa Romeo	Report
Lausanne Grand Prix	Lausanne	5 October	Luigi Villoresi	Maserati	Report
Coupe du Salon	Montlhéry	16 November	Yves Giraud-Cabantous	Talbot-Lago - Talbot	Report
