Nat.	Name	Moving to	Type	Transfer window	Transfer fee
NOR	Dan Eggen	Free Agent	End of contract	Summer	n/a
NED	Arthur Numan	Retired	End of contract	Summer	n/a
ARG	Claudio Caniggia	Free Agent	End of contract	Summer	n/a
SCO	Stephen Dobbie	Hibernian	End of contract	Summer	n/a
SCO	Marc Twaddle	Falkirk	End of contract	Summer	n/a
SCO	Jimmy Gibson	Clyde	End of contract	Summer	n/a
NED	Bert Konterman	Vitesse	End of contract	Summer	n/a
FRA	Jerome Bonnissel	Fulham	End of contract	Summer	n/a
ENG	Paul Reid	Northampton Town	Transfer	Summer	£0.1m
ITA	Lorenzo Amoruso	Blackburn Rovers	Transfer	Summer	£1.4m
SCO	Neil McCann	Southampton	Transfer	Summer	£1.5m
SCO	Barry Ferguson	Blackburn Rovers	Transfer	Summer	£7.5m
AUS	Kevin Muscat	Millwall	Transfer	Summer	Free
DEN	Jesper Christiansen	Viborg	Transfer	Winter	Free
NOR	Egil Østenstad	Free Agent	Transfer	n/a	n/a
