No. in Series	No. in Season	Title	Directed by	Written by	U.S. viewers (millions)	Original air date
58	1	"Devil May Care"	Allan Arkush	Jim Praytor , Andi Bushell	12.79	March7,2004
47	2	"Slam Dunk"	Michael Gershman	Kathy McCormick , Sharon Lee Watson	9.69	March12,2004
48	3	"'Til Death Do Us Part"	Michael Gershman	Damon Lindelof , Tim Kring	12.79	March14,2004
50	5	"Dead or Alive"	Stephen Williams	Aron Eli Coleite	11.94	March21,2004
51	6	"Second Chances"	Allan Arkush	Kathy McCormick	14.67	March28,2004
52	7	"Missing Pieces"	Stephen Williams	David Amann	12.94	April4,2004
53	8	"Most Likely"	Joyce Chopra	Gary Glasberg	13.31	April18,2004
54	9	"All the News Fit to Print"	Allan Arkush	Kira Arne	11.27	April25,2004
55	10	"Revealed"	Allan Arkush	Damon Lindelof	11.86	May9,2004
56	11	"He Said, She Said"	Michael Gershman	Jim Praytor, Andi Bushell	12.64	May16,2004
57	12	"Dead in the Water"	Stephen Williams	Gary Glasberg	12.94	May23,2004
