Driver	Constructor	Laps	Time/Retired	Grid
Emerson Fittipaldi	Lotus - Ford	54	1:29:16.66	1
Denny Hulme	McLaren - Ford	54	+ 1.18	7
Peter Revson	McLaren - Ford	54	+ 36.53	4
Mike Hailwood	Surtees - Ford	54	+ 44.76	12
Chris Amon	Matra	54	+ 45.64	6
Howden Ganley	BRM	54	+ 1:01.19	10
Jackie Stewart	Tyrrell - Ford	54	+ 1:09.09	3
Jean-Pierre Beltoise	BRM	54	+ 1:21.45	21
François Cevert	Tyrrell - Ford	53	+ 1 Lap	20
Niki Lauda	March - Ford	53	+1 Lap	22
Tim Schenken	Surtees - Ford	52	+2 Laps	8
Ronnie Peterson	March - Ford	52	+2 Laps	11
Peter Gethin	BRM	51	+3 Laps	16
Andrea de Adamich	Surtees - Ford	51	+3 Laps	13
Rolf Stommelen	March - Ford	48	Engine	17
Carlos Pace	March - Ford	46	Not Classified	18
Nanni Galli	Tecno	45	Oil Leak	23
Graham Hill	Brabham - Ford	36	Injection	14
Wilson Fittipaldi	Brabham - Ford	31	Brakes	15
Mike Beuttler	March - Ford	24	Fuel System	24
François Migault	Connew - Ford	22	Suspension	25
Jacky Ickx	Ferrari	20	Fuel System	9
Carlos Reutemann	Brabham - Ford	14	Injection	5
Clay Regazzoni	Ferrari	13	Fuel System	2
Dave Walker	Lotus - Ford	6	Engine	19
