Round	Nominees	Team	Match	Ground
1	Russell Robertson	Melbourne	Melbourne vs St Kilda	MCG
1	Travis Cloke	Collingwood	Kangaroos vs Collingwood	MCG
1	Michael Rischitelli	Brisbane	Brisbane vs Hawthorn	The Gabba
2	David Wirrpanda	West Coast	West Coast vs Collingwood	Subiaco Oval
2	Leon Davis	Collingwood	West Coast vs Collingwood	Subiaco
2	Mark McVeigh	Essendon	Essendon vs Fremantle	Telstra Dome
3	Leon Davis	Collingwood	Collingwood vs Richmond	MCG
3	David Mundy	Fremantle	Fremantle vs West Coast	Subiaco Oval
3	Jonathan Brown	Brisbane	Sydney vs Brisbane	SCG
4	Dustin Fletcher	Essendon	St. Kilda vs Essendon	Telstra Dome
4	Adem Yze	Melbourne	Melbourne vs Fremantle	MCG
4	Ashley Hansen	West Coast	West Coast vs Carlton	Subiaco Oval
5	Alwyn Davey	Essendon	Essendon vs Collingwood	MCG
5	Eddie Betts	Carlton	Carlton vs Brisbane	Telstra Dome
6	Alwyn Davey	Essendon	Essendon vs Hawthorn	MCG
6	Jordan McMahon	Western Bulldogs	West Coast vs Western Bulldogs	Subiaco Oval
6	Des Headland	Fremantle	Brisbane vs Fremantle	The Gabba
7	Shannon Grant	Kangaroos	Kangaroos vs Essendon	MCG
7	Matthew Priddis	West Coast	Geelong vs West Coast	Kardinia Park
7	Nathan Eagleton	Western Bulldogs	Western Bulldogs vs Melbourne	Telstra Dome
8	Shaun Higgins	Western Bulldogs	Western Bulldogs vs Collingwood	Telstra Dome
8	Brent Harvey	Kangaroos	Kangaroos vs Carlton	Carrara Stadium
8	Lance Whitnall	Carlton	Kangaroos vs Carlton	Carrara Stadium
9	Daniel Jackson	Richmond	Richmond vs Essendon	MCG
9	Ashley McGrath	Brisbane Lions	Brisbane Lions vs Collingwood	The Gabba
9	Lindsay Thomas	Kangaroos	Melbourne v Kangaroos	MCG
10	David Wojcinski	Geelong	St Kilda v Geelong	Telstra Dome
10	Mark McVeigh	Essendon	Sydney v Essendon	SCG
10	Nigel Lappin	Brisbane	Richmond v Brisbane	Telstra Dome
11	Lance Franklin	Hawthorn	Hawthorn v Sydney	MCG
11	Jared Brennan	Brisbane Lions	Brisbane Lions v Western Bulldogs	The Gabba
11	Chris Newman	Richmond	Fremantle v Richmond	Subiaco Oval
12	Robert Gray	Port Adelaide	Port Adelaide v Essendon	AAMI Stadium
12	Jonathan Brown	Brisbane Lions	Geelong v Brisbane Lions	Kardinia Park
12	Andrew Walker	Carlton	Carlton v Hawthorn	Telstra Dome
13	Jeff Farmer	Fremantle	Fremantle v Carlton	Subiaco Oval
13	Daniel Motlop	Port Adelaide	Brisbane Lions v Port Adelaide	The Gabba
13	Nathan Foley	Richmond	St Kilda v Richmond	Telstra Dome
14	Shaun Burgoyne	Port Adelaide	Western Bulldogs v Port Adelaide	Telstra Dome
14	Aaron Davey	Melbourne	Carlton v Melbourne	MCG
14	Kade Simpson	Carlton	Carlton v Melbourne	Telstra Dome
