City	State	AAM Accredited	AAM Member	ASTC Member
Salem	Oregon	No	No	Yes
Houghton	Michigan	No	No	No
Philadelphia	Pennsylvania	Yes	No	Yes
Chicago	Illinois	Yes	Yes	Yes
Nashville	Tennessee	No	No	Yes
Portage	Michigan	No	Yes	No
Birmingham	Alabama	No	No	No
Midland	Michigan	Yes	No	Yes
Lynchburg	Virginia	No	No	Yes
Bozeman	Montana	No	No	No
New York	New York	Yes	No	Yes
Bellingham	Washington	No	No	No
Oak Ridge	Tennessee	No	Yes	Yes
Anchorage	Alaska	Yes	No	Yes
Ann Arbor	Michigan	No	No	Yes
Anniston	Alabama	Yes	No	Yes
Phoenix	Arizona	No	No	Yes
Pine Bluff	Arkansas	Yes	Yes	No
Cocoa	Florida	No	No	Yes
Austin	Texas	No	No	Yes
Lexington	Kentucky	No	Yes	No
Bakersfield	California	No	No	Yes
Minneapolis	Minnesota	No	No	Yes
Menasha	Wisconsin	No	No	Yes
Bowling Green	Kentucky	No	No	No
Hackensack	New Jersey	No	No	No
Pittsfield	Massachusetts	No	No	Yes
Honolulu	Hawaii	Yes	No	No
Milwaukee	Wisconsin	No	No	Yes
Woodstock	Vermont	No	Yes	No
La Jolla	California	No	No	Yes
Huntington	Vermont	No	No	No
Honolulu	Hawaii	No	No	Yes
Spearfish	South Dakota	No	No	Yes
Upton	New York	No	No	Yes
Dayton	Ohio	Yes	Yes	Yes
Boston	Massachusetts	No	No	Yes
Los Alamos	New Mexico	No	No	No
Brooklyn	New York	Yes	No	Yes
Greenwich	Connecticut	No	No	Yes
Buffalo	New York	Yes	Yes	Yes
Appleton	Wisconsin	No	No	Yes
Rockford	Illinois	No	No	Yes
Gainesville	Florida	No	Yes	Yes
San Francisco	California	Yes	No	Yes
Los Angeles	California	Yes	Yes	Yes
Wilmington	North Carolina	Yes	Yes	Yes
Pittsburgh	Pennsylvania	Yes	Yes	Yes
Atwater	California	No	No	Yes
Hickory	North Carolina	No	No	Yes
Oakland	California	No	No	Yes
Tallahassee	Florida	No	No	Yes
Charlotte Harbor	Florida	No	No	Yes
Chicago	Illinois	No	No	Yes
Normal	Illinois	No	No	Yes
San Jose	California	No	No	Yes
