Rank	Quarterback	Seasons	Teams	Team Wins	Team Losses	Career Wins	Career Losses	Ties
1	Brett Favre Category:Articles with hCards	1991	Atlanta	0	0	186	112	0
1	Brett Favre Category:Articles with hCards	1992-2007	Green Bay	160	93	186	112	0
1	Brett Favre Category:Articles with hCards	2008	NY Jets	9	7	186	112	0
1	Brett Favre Category:Articles with hCards	2009-2010	Minnesota	17	12	186	112	0
2	Peyton Manning Category:Articles with hCards *	1998-2011	Indianapolis	141	67	161	71	0
2	Peyton Manning Category:Articles with hCards *	2012–present	Denver	20	4	161	71	0
3	Elway, John John Elway **	1983-1998	Denver	148	82	148	82	1
4	Marino, Dan Dan Marino **	1983-1999	Miami	147	93	147	93	0
5	Tom Brady Category:Articles with hCards *	2000–present	New England	142	41	143	41	0
6	Tarkenton, Fran Fran Tarkenton **	1961-1966 1972-1978	Minnesota	91	73	124	109	6
6	Tarkenton, Fran Fran Tarkenton **	1967-1971	NY Giants	33	36	124	109	6
7	Unitas, Johnny Johnny Unitas **	1956-1972	Baltimore Colts	117	61	118	64	4
7	Unitas, Johnny Johnny Unitas **	1973	San Diego	1	3	118	64	4
8	Montana, Joe Joe Montana **	1979-1992	San Francisco	100	39	117	47	0
8	Montana, Joe Joe Montana **	1993-1994	Kansas City	17	8	117	47	0
9	Bradshaw, Terry Terry Bradshaw **	1970-1983	Pittsburgh	107	51	107	51	0
10	Drew Brees Category:Articles with hCards *	2001-2005	San Diego	30	28	105	72	0
10	Drew Brees Category:Articles with hCards *	2006–present	New Orleans	75	44	105	72	0
11	Moon, Warren Warren Moon **	1984-1993	Houston Oilers	70	69	102	101	0
11	Moon, Warren Warren Moon **	1994-1996	Minnesota	21	18	102	101	0
11	Moon, Warren Warren Moon **	1997-1998	Seattle	11	13	102	101	0
11	Moon, Warren Warren Moon **	1999-2000	Kansas City	0	1	102	101	0
12	Kelly, Jim Jim Kelly **	1986-1996	Buffalo	101	59	101	59	0
13	Donovan McNabb Category:Articles with hCards	1999-2009	Philadelphia	92	49	98	62	1
13	Donovan McNabb Category:Articles with hCards	2010	Washington	5	8	98	62	1
13	Donovan McNabb Category:Articles with hCards	2011	Minnesota	1	5	98	62	1
14	Dave Krieg Category:Articles with hCards	1980-1991	Seattle	70	49	98	77	0
14	Dave Krieg Category:Articles with hCards	1992-1993	Kansas City	13	8	98	77	0
14	Dave Krieg Category:Articles with hCards	1994	Detroit	5	2	98	77	0
14	Dave Krieg Category:Articles with hCards	1995	Arizona	4	12	98	77	0
14	Dave Krieg Category:Articles with hCards	1996	Chicago	6	6	98	77	0
14	Dave Krieg Category:Articles with hCards	1997-1998	Tennessee	0	0	98	77	0
15	Drew Bledsoe Category:Articles with hCards	1993-2001	New England	63	60	98	95	0
15	Drew Bledsoe Category:Articles with hCards	2002-2004	Buffalo	23	25	98	95	0
15	Drew Bledsoe Category:Articles with hCards	2005-2006	Dallas	12	10	98	95	0
16	Ken Stabler Category:Articles with hCards	1970-1979	Oakland	69	26	96	49	1
16	Ken Stabler Category:Articles with hCards	1980-1981	Houston Oilers	16	12	96	49	1
16	Ken Stabler Category:Articles with hCards	1982-1984	New Orleans	11	11	96	49	1
17	Phil Simms Category:Articles with hCards	1979-1993	NY Giants	95	64	95	64	0
18	Young, Steve Steve Young **	1985-1986	Tampa Bay	3	16	94	49	0
18	Young, Steve Steve Young **	1987-1999	San Francisco	91	33	94	49	0
19	Starr, Bart Bart Starr **	1956-1971	Green Bay	94	57	94	57	6
20	Dawson, Len Len Dawson **	1957-1959	Pittsburgh	0	1	94	57	8
20	Dawson, Len Len Dawson **	1960-1961	Cleveland	1	0	94	57	8
20	Dawson, Len Len Dawson **	1962-1975	Dallas Texans/ Kansas City	93	56	94	57	8
21	Aikman, Troy Troy Aikman **	1989-2000	Dallas	94	71	94	71	0
22	Griese, Bob Bob Griese **	1967-1980	Miami	92	56	92	56	3
23	Steve McNair Category:Articles with hCards	1995-2005	Houston Oilers/ Tennessee	76	55	91	62	0
23	Steve McNair Category:Articles with hCards	2006-2007	Baltimore Ravens	15	7	91	62	0
24	Ken Anderson Category:Articles with hCards	1971-1986	Cincinnati	91	81	91	81	0
25	Vinny Testaverde Category:Articles with hCards	1987-1992	Tampa Bay	24	48	90	123	1
25	Vinny Testaverde Category:Articles with hCards	1993-1995	Cleveland	16	15	90	123	1
25	Vinny Testaverde Category:Articles with hCards	1996-1997	Baltimore Ravens	8	20	90	123	1
25	Vinny Testaverde Category:Articles with hCards	1998-2003 2005	NY Jets	35	26	90	123	1
25	Vinny Testaverde Category:Articles with hCards	2004	Dallas	5	10	90	123	1
25	Vinny Testaverde Category:Articles with hCards	2006	New England	0	0	90	123	1
