District	Representative	Party	Residence	Counties represented	Term ends	First Elected
1	Larry Farnese	Dem	Philadelphia	Philadelphia	2016	2008
2	Christine Tartaglione	Dem	Philadelphia	Philadelphia	2014	1994
3	Shirley Kitchen	Dem	Philadelphia	Philadelphia	2016	1996
4	LeAnna Washington	Dem	Philadelphia	Montgomery , Philadelphia	2014	2005
5	Michael J. Stack III	Dem	Philadelphia	Philadelphia	2016	2008
6	Tommy Tomlinson	Rep	Bensalem	Bucks	2014	1994
7	Vincent Hughes	Dem	Philadelphia	Montgomery , Philadelphia	2016	1994
8	Anthony H. Williams	Dem	Philadelphia	Delaware , Philadelphia	2014	1998
9	Dominic Pileggi	Rep	Chester	Chester , Delaware	2016	2002
10	Charlie McIlhinney	Rep	Doylestown	Bucks , Montgomery	2014	2006
11	Judy Schwank	Dem	Fleetwood	Berks	2016	2011
12	Stewart Greenleaf	Rep	Willow Grove	Bucks , Montgomery	2014	1978
13	Lloyd Smucker	Rep	Lancaster	Lancaster , York	2016	2008
14	John Yudichak	Dem	Plymouth Township	Carbon , Luzerne	2014	2010
15	Rob Teplitz	Dem	Susquehanna Township	Dauphin , York	2016	2012
16	Pat Browne	Rep	Allentown	Lehigh , Monroe , Northampton	2014	2005
17	Daylin Leach	Dem	Upper Merion Township	Delaware , Montgomery	2016	2008
18	Lisa Boscola	Dem	Bethlehem	Lehigh , Monroe , Northampton	2014	1998
19	Andy Dinniman	Dem	West Chester	Chester , Montgomery	2016	2006
22	John Blake	Dem	Blakely	Lackawanna , Luzerne , Monroe	2014	2010
24	Bob Mensch	Rep	Marlborough Township	Bucks , Lehigh , Montgomery , Northampton	2014	2009
26	Ted Erickson	Rep	Newtown Square	Chester , Delaware	2014	2001
28	Mike Waugh	Rep	York	York	2014	1998
30	John Eichelberger	Rep	Duncansville	Bedford , Blair , Fulton , Huntingdon , Mifflin	2014	2006
31	Pat Vance	Rep	Silver Spring Township	Cumberland , York	2016	2004
32	Rich Kasunic	Dem	Dunbar	Fayette , Somerset , Washington , Westmoreland	2014	1994
33	Richard Alloway	Rep	Hamilton Township, Franklin Co.	Adams , Franklin , York	2016	2008
34	Jake Corman	Rep	Benner Township	Centre , Juniata , Mifflin , Perry , Union	2014	1998
35	John Wozniak	Dem	Johnstown	Cambria , Centre , Clearfield , Clinton , Somerset	2016	1996
36	Mike Brubaker	Rep	Ephrata	Chester , Lancaster	2014	2006
37	Matt Smith	Dem	Bethel Park	Allegheny , Washington	2016	2012
38	Jim Ferlo	Dem	Pittsburgh	Allegheny , Armstrong , Westmoreland	2014	2002
39	Kim Ward	Rep	Hempfield Township	Westmoreland	2016	2008
40	Randy Vulakovich	Rep	Glenshaw	Allegheny , Butler	2014	2012
41	Don White	Rep	Indiana	Armstrong , Clearfield , Indiana , Westmoreland	2016	2000
42	Wayne Fontana	Dem	Pittsburgh	Allegheny	2014	2005
43	Jay Costa	Dem	Forest Hills	Allegheny	2016	1996
44	John Rafferty, Jr.	Rep	Collegeville	Berks , Chester , Montgomery	2014	2002
45	Jim Brewster	Dem	McKeesport	Allegheny , Westmoreland	2016	2010
47	Elder Vogel	Rep	New Sewickley Township	Allegheny , Beaver , Lawrence	2016	2008
48	Mike Folmer	Rep	Lebanon	Berks , Dauphin , Lancaster , Lebanon	2014	2006
49	Sean Wiley	Dem	Erie	Erie	2016	2012
