Rank	Celebrity	Professional Partner	Season	Average
1	Mateusz Damięcki	Ewa Szabatin	6	37.83
2	Marta Żmuda-Trzebiatowska	Adam Król	8	37.57
3	Edyta Górniak	Ján Kliment	12	37.5
4	Tamara Arciuch	Łukasz Czarnecki	7	35.57
5	Michał Kwiatkowski	Janja Lesar	10	35.07
6	Jay Delano	Kamila Kajak	9	34.0
7	Andrzej Nejman	Magdalena Soszyńska-Michno	1	33.11
8	Weronika Marczuk	Ján Kliment	13	33.0
9	Marcin Mroczek	Edyta Herbuś	4	32.91
10	Joanna Koroniewska	Robert Kochanek	3	32.82
11	Katarzyna Grochola	Ján Kliment	11	28.5
12	Katarzyna Tusk	Stefano Terrazzino	5	27.64
13	Jakub Wesołowski	Edyta Herbuś	2	27.0
