Rank	Fastest time (s)	Wind (m/s)	Athlete	Country	Date	Location
1	10.01	+0.0	Darrel Brown	Trinidad and Tobago	24 August 2003	Paris
1	10.01	+1.6	Jeff Demps	United States	28 June 2008	Eugene
1	10.01	+0.9	Yoshihide Kiryu	Japan	29 April 2013	Hiroshima
4	10.03	+0.7	Marcus Rowland	United States	31 July 2009	Port of Spain
5	10.04	+1.7	D'Angelo Cherry	United States	10 June 2009	Fayetteville
5	10.04	+0.2	Christophe Lemaitre	France	24 July 2009	Novi Sad
7	10.05	+0.1	Adam Gemili	Great Britain	11 July 2012	Barcelona
8	10.06	+2.0	Dwain Chambers	Great Britain	25 July 1997	Ljubljana
8	10.06	+1.5	Walter Dix	United States	27 May 2005	New York City
10	10.07	+2.0	Stanley Floyd	United States	24 May 1980	Austin
10	10.07	+1.1	DaBryan Blanton	United States	30 May 2003	Lincoln
10	10.07	+0.2	Tamunosiki Atorudibo	Nigeria	8 July 2004	Abuja
10	10.07	+0.3	Jimmy Vicaut	France	22 July 2011	Tallinn
