Date	Location	Score [A ]	Competition	Att.
22 August 1983	Western Samoa	3 – 0	1983 South Pacific Games	—
September 1983	Western Samoa	1 – 3	1983 South Pacific Games	—
1 September 1983	Western Samoa	2 – 3	1983 South Pacific Games	—
9 December 1987	New Caledonia	0 – 10	1987 South Pacific Games	—
10 December 1987	New Caledonia	0 – 7	1987 South Pacific Games	—
12 December 1987	New Caledonia	1 – 5	1987 South Pacific Games	—
15 December 1987	New Caledonia	0 – 20	1987 South Pacific Games	—
24 November 1994	Western Samoa	1 – 3	Polynesia Cup 1994	—
25 November 1994	Western Samoa	1 – 2	Polynesia Cup 1994	—
28 November 1994	Western Samoa	1 – 2	Polynesia Cup 1994	—
2 September 1998	Cook Islands	0 – 3	Polynesia Cup 1998	—
3 September 1998	Cook Islands	3 – 4	Polynesia Cup 1998	—
7 September 1998	Cook Islands	0 – 12	Polynesia Cup 1998	—
8 September 1998	Cook Islands	0 – 4	Polynesia Cup 1998	—
8 June 2000	Tahiti	0 – 18	Polynesia Cup 2000	—
12 June 2000	Tahiti	0 – 3	Polynesia Cup 2000	—
14 June 2000	Tahiti	1 – 6	Polynesia Cup 2000	—
16 June 2000	Tahiti	1 – 2	Polynesia Cup 2000	—
7 April 2001	Australia	0 – 13	2002 FIFA World Cup qualification (OFC)	500
9 April 2001	Australia	0 – 8	2002 FIFA World Cup qualification (OFC)	200
11 April 2001	Australia	0 – 31	2002 FIFA World Cup qualification (OFC)	3000
14 April 2001	Australia	0 – 5	2002 FIFA World Cup qualification (OFC)	1000
9 March 2002	Western Samoa	0 – 10	2002 OFC Nations Cup qualification	—
12 March 2002	Samoa	2 – 7	2002 OFC Nations Cup qualification	—
14 March 2002	Western Samoa	0 – 5	2002 OFC Nations Cup qualification	—
18 March 2002	Samoa	0 – 7	2002 OFC Nations Cup qualification	—
10 May 2004	Samoa	0 – 4	2006 FIFA World Cup qualification (OFC)	500
12 May 2004	Samoa	1 – 9	2006 FIFA World Cup qualification (OFC)	400
15 May 2004	Samoa	0 – 11	2006 FIFA World Cup qualification (OFC)	300
17 May 2004	Samoa	0 – 10	2006 FIFA World Cup qualification (OFC)	150
25 August 2007	Samoa	1 – 12	2010 FIFA World Cup qualification (OFC)	1000
27 August 2007	Western Samoa	0 – 7	2010 FIFA World Cup qualification (OFC)	2800
29 August 2007	Samoa	0 – 15	2010 FIFA World Cup qualification (OFC)	200
1 September 2007	Western Samoa	0 – 4	2010 FIFA World Cup qualification (OFC)	200
27 August 2011	New Caledonia	0 – 4	2011 Pacific Games	—
30 August 2011	New Caledonia	0 – 4	2011 Pacific Games	—
1 September 2011	New Caledonia	0 – 2	2011 Pacific Games	—
3 September 2011	New Caledonia	0 – 8	2011 Pacific Games	—
5 September 2011	New Caledonia	0 – 8	2011 Pacific Games	—
22 November 2011	Samoa	2 – 1	2014 FIFA World Cup qualification (OFC)	150
24 November 2011	Samoa	1 – 1	2014 FIFA World Cup qualification (OFC)	300
26 November 2011	Samoa	0 – 1	2014 FIFA World Cup qualification (OFC)	1500
