Date	Opponent	Score	Loss	Crowd	Record
Jul 1	MIN	L 0-9	Berenguer	43,484	55-22
Jul 2	@CHW	L 1-7	Rozema	32,768	55-23
Jul 3	@CHW	L 5-9	Morris	43,094	55-24
Jul 4	@CHW	L 2-8	Wilcox	37,665	55-25
Jul 5	@TEX	W 7-4	Hough	15,151	56-25
Jul 6	@TEX	L 3-5	Berenguer	22,378	56-26
Jul 7	@TEX	W 5-2	Darwin	29,262	57-26
Jul 8	@TEX	L 7-9	Bair	16,010	57-27
Jul 12	@MIN	L 2-4	Petry	29,729	57-28
Jul 13	@MIN	W 5-3 (11)	Lysander	30,050	58-28
Jul 14	@MIN	W 6-5 (12)	Walters	46,017	59-28
Jul 15	@MIN	W 6-2	Schrom	27,965	60-28
Jul 16	CHW	W 7-1	Hoyt	41,935	61-28
Jul 17	CHW	W 3-2	Nelson	34,579	62-28
Jul 18	CHW	L 6-10	Morris	39,051	62-29
Jul 19	TEX	W 9-2	Stewart	26,908	63-29
Jul 20	TEX	W 3-1	Tanana	39,484	64-29
Jul 21	TEX	W 7-6	Noles	46,219	65-29
Jul 22	TEX	W 2-0	Hough	37,846	66-29
Jul 23	@CLE	W 4-1	Blyleven	16,576	67-29
Jul 24	@CLE	W 9-5	Farr	15,578	68-29
Jul 25	@CLE	L 1-4	Rozema	15,516	68-30
Jul 27	BOS	W 9-1	Hurst	N/A	69-30
Jul 27	BOS	L 0-4	Abbott	49,607	69-31
Jul 28	BOS	L 2-3	Morris	49,372	69-32
Jul 29	BOS	W 3-0	Boyd	42,013	70-32
Jul 31	CLE	W 5-1	Smith	N/A	71-32
Jul 31	CLE	L 4-6	Rozema	32,158	71-33
