Year	Round	Pick	Overall	Position	NFL team
1938	1	5	5	HB	Chicago Cardinals
1938	2	1	11	E	Cleveland Rams
1938	6	1	41	E	Cleveland Rams
1938	10	5	85	B	Chicago Cardinals
1939	7	10	60	C	New York Giants
1940	1	3	3	HB	Pittsburgh Pirates
1940	6	3	43	T	Philadelphia Eagles
1940	9	5	75	G	Cleveland Rams
1940	16	8	148	DE	Washington Redskins
1941	6	1	98	E	Philadelphia Eagles
1941	9	4	74	G	Cleveland Rams
1941	13	5	115	E	Detroit Lions
1941	15	7	137	E	Green Bay Packers
1942	16	5	145	T	Detroit Lions
1942	17	7	157	E	Brooklyn Dodgers
1943	11	8	98	B	Green Bay Packers
1943	23	2	212	T	Philadelphia Eagles
1943	24	7	227	E	Pittsburgh Steelers
1943	27	4	254	T	Brooklyn Dodgers
1944	11	6	104	E	Green Bay Packers
1944	22	10	229	B	Cleveland Rams
1944	29	6	302	G	Green Bay Packers
1945	9	3	79	DB	Pittsburgh Steelers
1945	9	11	87	E	Green Bay Packers
1945	11	4	102	E	Boston Yanks
1945	11	10	108	T	New York Giants
1945	13	10	130	T	New York Giants
1945	14	11	142	B	Green Bay Packers
1945	20	2	199	T	Boston Yanks
1945	29	10	306	B	New York Giants
1946	9	10	80	E	Los Angeles Rams
1946	29	1	271	E	Chicago Cardinals
1947	4	2	25	E	Boston Yanks
1947	15	3	128	C	Washington Redskins
1947	26	6	241	E	Green Bay Packers
1948	1	8	8	HB	Philadelphia Eagles
1948	4	2	25	T	Detroit Lions
1948	5	2	27	T	Green Bay Packers
1948	18	7	162	HB	Philadelphia Eagles
1948	20	6	181	C	Green Bay Packers
1948	23	1	206	G	New York Giants
1949	5	8	49	HB	Chicago Bears
1949	17	7	168	B	Washington Redskins
1949	22	6	217	E	Los Angeles Rams
1949	25	2	243	G	Green Bay Packers
1950	2	1	15	FB	Baltimore Colts
1950	9	1	106	B	Baltimore Colts
1950	12	11	155	G	Los Angeles Rams
1950	14	13	183	E	Philadelphia Eagles
1950	18	5	227	B	Washington Redskins
1950	26	1	327	HB	Baltimore Colts
1951	8	6	93	E	Philadelphia Eagles
1951	10	4	116	B	Philadelphia Eagles
1951	26	2	221	G	Washington Redskins
1951	26	9	312	B	Chicago Bears
1951	26	12	315	DT	Cleveland Browns
1951	28	5	332	E	Philadelphia Eagles
1951	28	9	336	FB	Chicago Bears
1952	2	12	25	LB	Los Angeles Rams
1952	4	8	45	E	Detroit Lions
1952	5	3	52	DT	Green Bay Packers
1952	5	7	56	DT	Chicago Bears
1952	8	7	92	E	Chicago Bears
1952	13	1	146	G	New York Giants
1952	20	3	232	E	Chicago Cardinals
1953	8	12	97	HB	Detroit Lions
1953	10	1	110	B	Baltimore Colts
1953	15	1	170	B	Baltimore Colts
1954	1	2	2	QB	Chicago Cardinals
1954	6	10	71	DB	San Francisco 49ers
1954	8	5	90	T	Chicago Bears
1954	14	1	158	G	Chicago Cardinals
1954	17	1	194	B	Chicago Cardinals
1954	19	12	229	T	Detroit Lions
1955	5	11	13	G	Detroit Lions
1955	27	3	316	B	Washington Redskins
1956	1	13	13	E	Cleveland Browns
1956	2	6	19	DB	New York Giants
1956	27	3	316	B	Pittsburgh Steelers
1956	27	8	321	B	New York Giants
1956	28	8	333	T	New York Giants
1957	3	1	26	DT	Los Angeles Rams
1957	3	3	28	B	Cleveland Browns
1957	5	5	54	B	Baltimore Colts
1958	21	10	251	B	San Francisco 49ers
1959	20	1	229	B	Green Bay Packers
1959	21	9	249	HB	Chicago Bears
1961	4	12	54	B	Green Bay Packers
1961	7	11	95	TE	New York Giants
1962	1	8	8	WR	San Francisco 49ers
1962	10	1	127	G	Washington Redskins
1962	13	12	180	B	Philadelphia Eagles
1962	16	13	223	DE	Philadelphia Eagles
1963	3	2	30	LB	St. Louis Cardinals
1963	12	1	155	HB	Los Angeles Rams
1963	16	8	218	G	Washington Redskins
1963	20	3	269	E	St. Louis Cardinals
1964	7	6	90	T	Detroit Lions
1964	7	9	93	E	St. Louis Cardinals
1964	20	4	270	QB	Washington Redskins
1965	6	12	82	T	St. Louis Cardinals
1965	9	9	121	LB	Los Angeles Rams
1966	2	11	27	RB	Minnesota Vikings
1966	9	11	136	T	Detroit Lions
1966	10	1	141	G	Atlanta Falcons
1966	10	12	152	RB	Chicago Bears
1966	16	7	237	DE	Minnesota Vikings
1966	19	7	282	WR	New York Giants
1967	1	10	10	DE	Chicago Bears
1967	1	19	19	RB	Philadelphia Eagles
1967	6	18	151	DB	Atlanta Falcons
1968	2	9	36	T	Pittsburgh Steelers
1968	5	4	115	QB	New Orleans Saints
1969	5	17	121	G	Minnesota Vikings
1969	8	15	197	G	Chicago Bears
1969	12	2	288	DB	Philadelphia Eagles
1970	6	20	150	DB	New York Jets
1970	8	23	205	G	Dallas Cowboys
1970	10	19	253	RB	Detroit Lions
1970	10	26	260	G	Kansas City Chiefs
1970	14	12	350	C	New York Giants
1970	17	7	423	LB	St. Louis Cardinals
1971	4	11	89	DB	Chicago Bears
1971	7	13	169	WR	San Diego Chargers
1971	9	26	234	RB	Baltimore Colts
1971	16	5	395	LB	Philadelphia Eagles
1971	17	3	419	TE	Buffalo Bills
1972	3	9	61	K	San Diego Chargers
1972	8	2	184	T	New York Giants
1972	9	12	220	T	New England Patriots
1972	11	5	265	LB	St. Louis Cardinals
1973	3	5	57	QB	Buffalo Bills
1973	5	2	106	DE	Pittsburgh Steelers
1973	8	13	195	G	Atlanta Falcons
1973	9	7	215	WR	Buffalo Bills
1973	10	24	258	DT	Pittsburgh Steelers
