Game	Date	Team	Score	High points	High assists	Location Attendance	Record
61	March 1	Detroit	L 95–105 (OT)	Paul Pierce (26)	Rajon Rondo (6)	TD Banknorth Garden 18,624	47–14
62	March 4	@ New Jersey	W 115–111 (OT)	Paul Pierce (31)	Paul Pierce , Rajon Rondo (5)	Izod Center 15,791	48–14
63	March 6	Cleveland	W 105–94 (OT)	Paul Pierce (29)	Rajon Rondo (10)	TD Banknorth Garden 18,624	49–14
64	March 8	Orlando	L 79–86 (OT)	Ray Allen (32)	Paul Pierce (3)	TD Banknorth Garden 18,624	49–15
65	March 11	@ Miami	L 99–107 (OT)	Ray Allen (27)	Stephon Marbury (4)	American Airlines Arena 19,600	49–16
66	March 13	Memphis	W 102–92 (OT)	Leon Powe (30)	Rajon Rondo (8)	TD Banknorth Garden 18,624	50–16
67	March 15	@ Milwaukee	L 77–86 (OT)	Kendrick Perkins (26)	Rajon Rondo (8)	Bradley Center 18,134	50–17
68	March 17	@ Chicago	L 121–127 (OT)	Paul Pierce (37)	Rajon Rondo (10)	United Center 22,107	50–18
69	March 18	Miami	W 112–108 (OT)	Paul Pierce (36)	Rajon Rondo (10)	TD Banknorth Garden 18,624	51–18
70	March 20	@ San Antonio	W 80–77 (OT)	Ray Allen (19)	Rajon Rondo (12)	AT&T Center 18,797	52–18
71	March 21	@ Memphis	W 105–87 (OT)	Glen Davis (24)	Rajon Rondo (10)	FedExForum 18,119	53–18
72	March 23	L.A. Clippers	W 90–77 (OT)	Ray Allen (20)	Rajon Rondo (7)	TD Banknorth Garden 18,624	54–18
73	March 25	@ Orlando	L 82–84 (OT)	Paul Pierce (26)	Ray Allen , Rajon Rondo (5)	Amway Arena 17,461	54–19
74	March 27	@ Atlanta	W 99–93 (OT)	Ray Allen (22)	Paul Pierce , Rajon Rondo (5)	Philips Arena 20,054	55–19
75	March 29	Oklahoma City	W 103–84 (OT)	Paul Pierce (27)	Rajon Rondo (12)	TD Banknorth Garden 18,624	56–19
