Outcome	Year	Championship	Surface	Partner	Opponents in the final	Score in the final
Runner-up	1971	US Open	Grass	Bob Maud	Billie Jean King Owen Davidson	6–3, 7–5
Runner-up	1973	French Open	Clay	Patrice Dominguez	Françoise Dürr Jean-Claude Barclay	6–1, 6–4
Runner-up	1975	Wimbledon	Grass	Allan Stone	Margaret Court Marty Riessen	6–4, 7–5
Runner-up	1976	US Open	Clay	Frew McMillan	Billie Jean King Phil Dent	3–6, 6–2, 7–5
Runner-up	1977	Wimbledon	Grass	Frew McMillan	Greer Stevens Bob Hewitt	3–6, 7–5, 6–4
Winner	1977	US Open	Clay	Frew McMillan	Billie Jean King Vitas Gerulaitis	6–2, 3–6, 6–3
Winner	1978	Wimbledon	Grass	Frew McMillan	Billie Jean King Ray Ruffels	6–2, 6–2
Winner	1978	US Open (2)	Hard	Frew McMillan	Billie Jean King Ray Ruffels	6–3, 7–6
Runner-up	1979	Wimbledon	Grass	Frew McMillan	Greer Stevens Bob Hewitt	7–5, 7–6
Runner-up	1979	US Open	Hard	Frew McMillan	Greer Stevens Bob Hewitt	6–3, 7–5
Runner-up	1980	US Open	Hard	Frew McMillan	Wendy Turnbull Marty Riessen	7–5, 6–2
Runner-up	1981	French Open	Clay	Fred McNair	Andrea Jaeger Jimmy Arias	7–6, 6–4
