Name	Year of release	Developer	Publisher	Original platforms
Spec Ops: Rangers Lead the Way	1998	Zombie Studios	Ripcord Games , Take-Two Interactive	Windows
Spec Ops: Ranger Team Bravo	1998	Zombie Studios	Ripcord Games	Windows
Spec Ops: Mission 2000	1999	Zombie Studios	Ripcord Games	Windows
Spec Ops II: Green Berets	1999	Zombie Studios	Ripcord Games, Talonsoft	Windows
Spec Ops II: Operation Bravo	2000	Zombie Studios	Ripcord Games, Talonsoft	Windows
Spec Ops: Stealth Patrol	2000	Runecraft Ltd. , Zombie Studios	Take-Two Interactive , TalonSoft	PlayStation
Spec Ops II: Omega Squad	2000	Runecraft, Zombie Studios	Ripcord Games	Dreamcast
Spec Ops: Ranger Elite	2001	Runecraft, Zombie Studios	Take-Two Interactive, TalonSoft	PlayStation
Spec Ops: Covert Assault	2001	Runecraft, Zombie Studios	Take-Two Interactive	PlayStation
Spec Ops: Airborne Commando	2002	Big Grub	Gotham Games , Take-Two Interactive	PlayStation
Spec Ops: Airborne Division	Cancelled	Rockstar Vancouver	Rockstar Games , Take-Two Interactive	PlayStation 2
Spec Ops: The Line	2012	Yager Development , Darkside Game Studios	2K Games	Windows, PlayStation 3 , Xbox 360
