Nº	Huckleberry Hound	Pixie and Dixie	Yogi Bear	Air date	Credited animators
1	" Huckleberry Hound Meets Wee Willie " (Pilot)	" Cousin Tex " (Pilot)	" Yogi Bear's Big Break " (Pilot)	1958.10.02	Kenneth Muse , Carlo Vinci
2	" Lion-Hearted Huck "	"Judo Jack"	"Slumber Party Smarty"	1958.10.09	Kenneth Muse, Lewis Marshall
3	"Tricky Trapper"	"Kit Kat Kit"	"Pie-Pirates"	1958.10.16	Kenneth Muse, Michael Lah
4	" Sir Huckleberry Hound "	"Jinks’ Mice Device"	"Big Bad Bully"	1958.10.23	Lewis Marshall, Kenneth Muse , Carlo Vinci
5	"Sheriff Huckleberry"	"Pistol Packin’ Pirate"	"Foxy Hound-Dog"	1958.10.30	Kenneth Muse, Michael Lah, Lewis Marshall
6	" Rustler Hustler Huck "	"Scaredycat Dog"	"The Brave Little Brave"	1958.11.06	Lewis Marshall, Kenneth Muse, Michael Lah
7	"Freeway Patrol"	"Little Bird-Mouse"	"Tally Ho Ho Ho"	1958.11.13	Kenneth Muse, Lewis Marshall, Carlo Vinci
8	" Cock-a-doodle Huck "	"Jiggers… It’s Jinks!"	"High Fly Guy"	1958.11.20	Carlo Vinci , Lewis Marshall, Michael Lah
9	" Two Corny Crows "	"The Ghost with the Most"	"Baffled Bear"	1958.11.27	Kenneth Muse
11	"Fireman Huck"	"Jinks Junior"	—rr—	1958.12.11	Kenneth Muse, Lewis Marshall
13	—rr—	"Jinks The Butler"	"The Buzzin’ Bear"	1958.12.25	Kenneth Muse, Carlo Vinci
14	"Hookey Daze"	"Jinks Flying Carpet"	—rr—	1959.01.01	Carlo Vinci, Kenneth Muse
15	"Skeeter Trouble"	—rr—	"The Runaway Bear"	1959.01.08	Carlo Vinci, Kenneth Muse
16	—rr—	"Puppet Pals"	"Be My Guest Pest"	1959.01.15	Lewis Marshall, Carlo Vinci
17	"Sheep-Shape Sheepherder"	"Mark of the Mouse"	—rr—	1959.01.22	Carlo Vinci
18	"Barbecue Hound"	—rr—	"Duck in Luck"	1959.01.29	Kenneth Muse, Carlo Vinci
19	—rr—	"Dinky Jinks"	"Bear on a Picnic"	1959.02.05	Carlo Vinci
20	"Hokum Smokum"	"Hypnotize Surprise"	—rr—	1959.02.12	Carlo Vinci, Lewis Marshall
21	"Bird House Blues"	—rr—	"Prize Fight Fright"	1959.02.19	Carlo Vinci, Kenneth Muse
22	"Postman Panic"	"Nice Mice"	"Brainy Bear"	1959.02.26	Carlo Vinci, Kenneth Muse
23	"Ski Champ Chump"	"King-Size Surprise"	"Robin Hood Yogi"	1959.03.05	Lewis Marshall, Kenneth Muse
24	"Lion Tamer Huck"	"Cat-Nap Cat"	"Daffy Daddy"	1959.03.12	Michael Lah, Kenneth Muse, Carlo Vinci
25	"Little Red Riding Huck"	"Mouse-Nappers"	"Scooter Looter"	1959.03.19	Lewis Marshall, Kenneth Muse, Carlo Vinci
