Name	Nationality	1.85	1.93	Height
Tia Hellebaut	Belgium	o	o	2.05
Blanka Vlašić	Croatia	o	o	2.05
Anna Chicherova	Russia	o	o	2.03
Yelena Slesarenko	Russia	o	xo	2.01
Vita Palamar	Ukraine	o	o	1.99
Chaunte Howard	United States	o	xo	1.99
Ariane Friedrich	Germany	o	o	1.96
Ruth Beitia	Spain	o	o	1.96
Emma Green	Sweden	o	o	1.96
Marina Aitova	Kazakhstan	o	o	1.93
Antonietta Di Martino	Italy	o	o	1.93
Iva Straková	Czech Republic	o	xxo	1.93
Vita Styopina	Ukraine	o	xxo	1.93
Svetlana Shkolina	Russia	o	xxo	1.93
Romana Dubnová	Czech Republic	o	x-	1.89
