Original week	Date	Opponent	Result	Venue
1	September 12, 1982	Tampa Bay Buccaneers	W 17–10	Hubert H. Humphrey Metrodome
2	September 16, 1982	at Buffalo Bills	L 23–22	Rich Stadium
3	September 26, 1982	Dallas Cowboys	Postponed	Hubert H. Humphrey Metrodome
4	October 3, 1982	at Chicago Bears	Canceled	Soldier Field
5	October 10, 1982	at Tampa Bay Buccaneers	Canceled	Tampa Stadium
6	October 17, 1982	New Orleans Saints	Canceled	Hubert H. Humphrey Metrodome
7	October 24, 1982	Green Bay Packers	Canceled	Hubert H. Humphrey Metrodome
8	November 1, 1982	Detroit Lions	Canceled	Hubert H. Humphrey Metrodome
9	November 7, 1982	at San Francisco 49ers	Canceled	Candlestick Park
10	November 14, 1982	at Washington Redskins	Canceled	RFK Stadium
11	November 21, 1982	at Green Bay Packers	L 26–7	Milwaukee County Stadium
12	November 28, 1982	Chicago Bears	W 35–7	Hubert H. Humphrey Metrodome
13	December 5, 1982	at Miami Dolphins	L 22–14	Miami Orange Bowl
14	December 12, 1982	Baltimore Colts	W 13–10	Hubert H. Humphrey Metrodome
15	December 19, 1982	at Detroit Lions	W 34–31	Pontiac Silverdome
16	December 26, 1982	New York Jets	L 42–14	Hubert H. Humphrey Metrodome
3	January 3, 1983	Dallas Cowboys	W 31–27	Hubert H. Humphrey Metrodome
