Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Kerry Huffman	Defense	Canada	Guelph Platers ( OHL )
2	Jukka Seppo	Center	Finland	Vasa Sport ( Mestis )
2	Kent Hawley	Center	Canada	Ottawa 67's (OHL)
4	Mark Bar	Defense	Canada	Peterborough Petes (OHL)
6	Steve Scheifele	Right Wing	United States	Stratford Cullitons ( OPJHL )
7	Sami Wahlsten	Forward	Finland	TPS Turku ( SM-liiga )
8	Murray Baron	Defense	Canada	Vernon Lakers ( BCJHL )
9	Blaine Rude	Forward	United States	Fergus Falls High School (N. Dakota)
10	Shaun Sabol	Defense	United States	St. Paul Vulcans ( USHL )
11	Brett Lawrence	Right Wing	United States	Rochester Junior Americans
12	Dan Stephano	Goaltender	United States	Northwood School (N.Y.)
