Year	Date	Type	EU Council presidency	President-in-Office	Host city
1975	10–11 March	―	Ireland	Liam Cosgrave	Dublin
1975	16–17 July	―	Italy	Aldo Moro	Brussels
1975	1–2 December	―	Italy	Aldo Moro	Rome
1976	1–2 April	―	Luxembourg	Gaston Thorn	Luxembourg
1976	12–13 July	―	Netherlands	Joop den Uyl	Brussels
1976	29–30 November	―	Netherlands	Joop den Uyl	The Hague
1977	25–27 March	―	UK	James Callaghan	Rome
1977	29–30 June	―	UK	James Callaghan	London
1977	5–6 December	―	Belgium	Leo Tindemans	Brussels
1978	7–8 April	―	Denmark	Anker Jørgensen	Copenhagen
1978	6–7 July	―	Germany	Helmut Schmidt	Bremen
1978	4–5 December	―	Germany	Helmut Schmidt	Brussels
1979	12–13 March	―	France	Valéry Giscard d'Estaing	Paris
1979	21–22 June	―	France	Valéry Giscard d'Estaing	Strasbourg
1979	29–30 November	―	Ireland	Jack Lynch	Dublin
1980	17–18 April	―	Italy	Francesco Cossiga	Luxembourg
1980	12–13 June	―	Italy	Francesco Cossiga	Venice
1980	1–2 December	―	Luxembourg	Pierre Werner	Luxembourg
1981	23–24 March	―	Netherlands	Dries van Agt	Maastricht
1981	29–30 June	―	Netherlands	Dries van Agt	Luxembourg
1981	26–27 November	―	UK	Margaret Thatcher	London
1982	29–30 March	―	Belgium	Wilfried Martens	Brussels
1982	28–29 June	―	Belgium	Wilfried Martens	Brussels
1982	3–4 December	―	Denmark	Poul Schlüter	Copenhagen
1983	21–22 March	―	Germany	Helmut Kohl	Brussels
1983	17–19 June	―	Germany	Helmut Kohl	Stuttgart
1983	4–6 December	―	Greece	Andreas Papandreou	Athens
1984	19–20 March	―	France	François Mitterrand	Brussels
1984	25–26 June	―	France	François Mitterrand	Fontainebleau
1984	3–4 December	―	Ireland	Garret FitzGerald	Dublin
1985	29–30 March	―	Italy	Bettino Craxi	Brussels
1985	28–29 June	―	Italy	Bettino Craxi	Milan
1985	2–3 December	―	Luxembourg	Jacques Santer	Luxembourg
1986	26–27 June	―	Netherlands	Ruud Lubbers	The Hague
1986	5–6 December	―	UK	Margaret Thatcher	London
1987	29–30 June	―	Belgium	Wilfried Martens	Brussels
1987	4–5 December	―	Denmark	Poul Schlüter	Copenhagen
1988	11–13 February	―	Germany	Helmut Kohl	Brussels
1988	27–28 June	―	Germany	Helmut Kohl	Hanover
1988	2–3 December	―	Greece	Andreas Papandreou	Rhodes
1989	26–27 June	―	Spain	Felipe González	Madrid
1989	18 November	Informal	France	François Mitterrand	Paris
1989	8–9 December	―	France	François Mitterrand	Strasbourg
1990	28 April	Extraordinary	Ireland	Charles Haughey	Dublin
1990	25–26 June	―	Ireland	Charles Haughey	Dublin
1990	27–28 October	―	Italy	Giulio Andreotti	Rome
1990	14–15 December	―	Italy	Giulio Andreotti	Rome
1991	8 April	Informal	Luxembourg	Jacques Santer	Luxembourg
1991	28–29 June	―	Luxembourg	Jacques Santer	Luxembourg
1991	9–10 December	―	Netherlands	Ruud Lubbers	Maastricht
1992	27 June	―	Portugal	Aníbal Cavaco Silva	Lisbon
1992	16 October	―	UK	John Major	Birmingham
1992	11–12 December	―	UK	John Major	Edinburgh
1993	21–22 June	―	Denmark	Poul Nyrup Rasmussen	Copenhagen
1993	29 October	―	Belgium	Jean-Luc Dehaene	Brussels
1993	10–11 December	―	Belgium	Jean-Luc Dehaene	Brussels
1994	24–25 June	―	Greece	Andreas Papandreou	Corfu
1994	15 July	―	Germany	Helmut Kohl	Brussels
1994	9–10 December	―	Germany	Helmut Kohl	Essen
1995	26–27 June	―	France	Jacques Chirac	Cannes
1995	22–23 October	Extraordinary	Spain	Felipe González	Majorca
1995	15–16 December	―	Spain	Felipe González	Madrid
1996	29–30 March	―	Italy	Lamberto Dini	Turin
1996	21–22 June	―	Italy	Romano Prodi	Florence
