Res.	Record	Opponent	Method	Round	Time	Location
Loss	12-7	Mark Bocek	Submission (triangle choke)	1	2:33	Montreal, Quebec , Canada
Loss	12-6	Rick Story	TKO (punches)	2	1:15	Oakland, California , USA
Loss	12-5	Paul Daley	KO (punches)	1	2:24	Las Vegas, Nevada , USA
Win	12-4	Tamdan McCrory	Submission (reverse armbar)	1	3:59	Las Vegas, Nevada , USA
Win	11-4	Josh Burkman	Submission (armbar)	2	4:46	Las Vegas, Nevada , USA
Loss	10-4	Josh Koscheck	TKO (head kick and punches)	2	1:24	Columbus, Ohio , USA
Win	10-3	Jonathan Goulet	Submission (armbar)	1	1:14	Las Vegas, Nevada , USA
Win	9-3	Stevie Lynch	Submission (anaconda choke)	1	2:50	Belfast , Northern Ireland
Win	8-3	Diego Saraiva	Decision (unanimous)	3	5:00	Las Vegas, Nevada , USA
Loss	7-3	Tony DeSouza	Submission (kimura)	1	3:59	Hollywood, Florida , USA
Win	7-2	Chad Reiner	KO (punches)	1	0:07	Hayward, Wisconsin , USA
Win	6-2	Victor Moreno	Submission (armbar)	1	1:02	Hayward, Wisconsin , USA
Win	5-2	Mike Cardosa	Submission (triangle choke)	1	0:48	Hayward, Wisconsin , USA
Win	4-2	Rhalan Gracie	Decision (split)	3	5:00	Columbus, Ohio , USA
Loss	3-2	Dereck Keasley	Decision (unanimous)	2	5:00	Tunica, Mississippi , USA
Win	3-1	John Shackelford	Submission (rear-naked choke)	1	2:42	Tunica, Mississippi , USA
Loss	2-1	Junior Assuncao	TKO (punches)	1	4:27	Duluth, Georgia , USA
Win	2-0	Jason Ireland	Submission (triangle choke)	1	N/A	Canton, Ohio , USA
Win	1-0	Justin Hons	Submission (armbar)	1	N/A	Dayton, Ohio , USA
