Year	Production	Composer	Conductor	Director
2014	The Snowmaiden [ citation needed ]	Rimsky-Korsakov	Charles Peebles	Christopher Cowell
2013	I Lombardi	Verdi	Charles Peebles	Jamie Hayes
2012	Acante et Céphise	Rameau	Charles Peebles	Christopher Cowell
2011	The Three Pintos (Die Drei Pintos)	Weber / Mahler	Charles Peebles	John Ramster
2010	Genoveva	Schumann	Charles Peebles	Emma Rivlin
2009	Macbeth *	Bloch	Charles Peebles	John Ramster
2008	Fiesque *	Lalo	Charles Peebles	Emma Rivlin
2007	Camacho's Wedding	Mendelssohn	Charles Peebles	Duncan Macfarland
2006	Alfonso und Estrella	Schubert	Charles Peebles	Stephen Barlow
2005	Whittington	Offenbach	Charles Peebles	Jamie Hayes
2004	Vanda *	Dvořák	Charles Peebles	Matthias Janser
2003	Ciboulette*	Hahn	Charles Peebles	Daniele Guerra
2002	Benvenuto Cellini	Berlioz	Charles Peebles	Jamie Hayes
2001	Kullervo*	Sallinen	David Drummond	Paul Curran
