Season	Date	Driver	Team	Chassis	Engine	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1996-97	June 7, 1997	Arie Luyendyk *	Treadway Racing	G-Force	Oldsmobile	208	312 (502.115)	2:19:48	133.903	Report
1998	June 6	Billy Boat	A.J. Foyt Enterprises	Dallara	Oldsmobile	208	312 (502.115)	2:08:46	145.388	Report
1998	September 20	John Paul, Jr.	Byrd/Cunningham Racing	G-Force	Oldsmobile	208	312 (502.115)	2:21:53	131.931	Report
1999	June 12	Scott Goodyear	Panther Racing	G-Force	Oldsmobile	208	312 (502.115)	2:00:06	150.069	Report
1999	October 17	Mark Dismore	Kelley Racing	Dallara	Oldsmobile	208	312 (502.115)	2:14:16	135.246	Report
2000	June 11*	Scott Sharp	Kelley Racing	Dallara	Oldsmobile	208	312 (502.115)	1:47:20	169.182	Report
2000	October 15	Scott Goodyear	Panther Racing	Dallara	Oldsmobile	208	312 (502.115)	1:43:36	175.276	Report
2001	June 9	Scott Sharp	Kelley Racing	Dallara	Oldsmobile	200	300 (482.803)	1:55:44	150.873	Report
2001	October 6*	Sam Hornish, Jr.	Panther Racing	Dallara	Oldsmobile	200	300 (482.803)	1:43:36	168.523	Report
2002	June 8	Jeff Ward	Chip Ganassi Racing	G-Force	Chevrolet	200	300 (482.803)	1:45:50	164.984	Report
2002	September 15	Sam Hornish, Jr.	Panther Racing	Dallara	Chevrolet	200	300 (482.803)	1:46:29	163.981	Report
2003	June 7	Al Unser, Jr.	Kelley Racing	Dallara	Toyota	200	300 (482.803)	1:43:48	168.213	Report
2003	October 13	Gil de Ferran	Team Penske	Dallara	Toyota	195*	292.5 (470.733)	1:48:56	156.268	Report
2004	June 12	Tony Kanaan	Andretti Green Racing	Dallara	Honda	200	300 (482.803)	1:53:24	153.965	Report
2004	October 17	Hélio Castroneves	Team Penske	Dallara	Toyota	200	300 (482.803)	1:49:32	159.397	Report
2005	June 11	Tomas Scheckter	Panther Racing	Dallara	Chevrolet	200	300 (482.803)	1:45:47	165.047	Report
2006	June 10	Hélio Castroneves	Team Penske	Dallara	Honda	200	300 (482.803)	1:34:01	185.71	Report
2007	June 9	Sam Hornish, Jr.	Team Penske	Dallara	Honda	228	342 (550.395)	1:52:15	177.314	Report
2008	June 7	Scott Dixon	Chip Ganassi Racing	Dallara	Honda	228	342 (550.395)	2:04:36	159.74	Report
2009	June 6	Hélio Castroneves	Team Penske	Dallara	Honda	228	342 (550.395)	1:55:16	172.677	Report
2010	June 5	Ryan Briscoe	Team Penske	Dallara	Honda	228	342 (550.395)	2:04:47	159.508	Report
2011	June 11	Dario Franchitti	Chip Ganassi Racing	Dallara	Honda	114	171 (275.197)	0:54:47	181.649	Report
2011	June 11	Will Power	Team Penske	Dallara	Honda	114	171 (275.197)	0:48:09	206.693	Report
2012	June 9	Justin Wilson	Dale Coyne Racing	Dallara	Honda	228	342 (550.395)	1:59:02	167.217	Report
