Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Darren Rumble	Defense	Canada	Kitchener Rangers ( OHL )
2	Jeff Harding	Right Wing	Canada	St. Michael's Buzzers (Toronto)
3	Martin Hostak	Right Wing	Czech Republic	Sparta Praha (Cze)
4	Tomaz Eriksson	Left Wing	Sweden	Djurgardens IF ( Elitserien )
5	Bill Gall	Defense	United States	New Hampton School (N.H.)
6	Tony Link	Defense	United States	Dimond High School (Alaska)
7	Marc Strapon	Defense	United States	Hayward High School ( Wisconsin )
8	Daryl Ingham	Right Wing	Canada	Manitoba Bisons ( CIAU )
9	Bruce MacDonald	Right Wing	United States	Loomis Chaffee School (Conn.)
10	Steve Morrow	Defense	United States	Westminster School (Conn.)
11	Darius Rusnak	Center	Slovakia	Slovan Bratislava (Slovakia)
12	Dale Roehl	Goaltender	United States	Minnetonka High School ( Minn. )
Sup	David Whyte	Left Wing	United States	Boston College Eagles ( HE )
