State	1990–95	1996-00	2001–05	2006–10
Bihar	0.41	0.30	0.43	0.88
Gujarat	0.48	0.57	0.64	0.69
Andhra Pradesh	0.53	0.73	0.55	0.61
Punjab	0.32	0.46	0.46	0.60
Jammu & Kashmir	0.13	0.32	0.17	0.40
Haryana	0.33	0.60	0.31	0.37
Himachal Pradesh	0.26	0.14	0.23	0.35
Tamil Nadu	0.19	0.20	0.24	0.29
Madhya Pradesh	0.23	0.22	0.31	0.29
Karnataka	0.24	0.19	0.20	0.29
Rajasthan	0.27	0.23	0.26	0.27
Kerala	0.16	0.20	0.22	0.27
Maharashtra	0.45	0.29	0.27	0.26
Uttar Pradesh	0.11	0.11	0.16	0.21
Orissa	0.22	0.16	0.15	0.19
Assam	0.21	0.02	0.14	0.17
West Bengal	0.11	0.08	0.03	0.01
