Driver	Constructor	Laps	Time/Retired	Grid
Juan Manuel Fangio	Maserati	22	3:30:38.3	1
Mike Hawthorn	Ferrari	22	+3.6 secs	2
Peter Collins	Ferrari	22	+35.6 secs	4
Luigi Musso	Ferrari	22	+3:37.6	8
Stirling Moss	Vanwall	22	+4:37.2	7
Jean Behra	Maserati	22	+4:38.5	3
Harry Schell	Maserati	22	+6:47.5	6
Masten Gregory	Maserati	21	+1 Lap	10
Tony Brooks	Vanwall	21	+1 Lap	5
Giorgio Scarlatti	Maserati	21	+1 Lap	13
Bruce Halford	Maserati	21	+1 Lap	16
Edgar Barth	Porsche	21	+1 Lap	12
Brian Naylor	Cooper - Climax	20	+2 Laps	17
Carel Godin de Beaufort	Porsche	20	+2 Laps	20
Tony Marsh	Cooper - Climax	17	+5 Laps	22
Hans Herrmann	Maserati	14	Chassis	11
Umberto Maglioli	Porsche	13	Engine	15
Roy Salvadori	Cooper - Climax	11	Suspension	14
Paco Godia	Maserati	11	Steering	21
Stuart Lewis-Evans	Vanwall	10	Gearbox	9
Jack Brabham	Cooper - Climax	6	Transmission	18
Paul England	Cooper - Climax	4	Distributor	23
Dick Gibson	Cooper - Climax	3	Steering	24
Horace Gould	Maserati	2	Axle	19
