Week	Date	Opponent	Result	Attendance
1	September 14, 1963	at Los Angeles Rams	W 23-2	49,342
2	September 22, 1963	at Green Bay Packers	L 31-10	45,912
3	September 29, 1963	Chicago Bears	L 37-21	55,400
4	October 6, 1963	San Francisco 49ers	W 26-3	44,088
5	October 13, 1963	at Dallas Cowboys	L 17-14	27,264
6	October 20, 1963	Baltimore Colts	L 25-21	51,901
7	October 27, 1963	Minnesota Vikings	W 28-10	44,509
8	November 3, 1963	at San Francisco 49ers	W 45-7	33,511
9	November 10, 1963	at Baltimore Colts	L 24-21	59,758
10	November 17, 1963	Los Angeles Rams	L 28-21	44,951
11	November 24, 1963	at Minnesota Vikings	L 34-31	28,763
12	November 28, 1963	Green Bay Packers	T 13-13	54,016
13	December 8, 1963	Cleveland Browns	W 38-10	51,382
14	December 15, 1963	at Chicago Bears	L 24-14	45,317
