Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 25	MasterCard Championship	Hawaii	1600000	Fuzzy Zoeller (2)	196 (-20)	268000
Feb 8	Royal Caribbean Golf Classic	Florida	1450000	Bruce Fleisher (17)	210 (-6)	217500
Feb 15	The ACE Group Classic	Florida	1600000	Craig Stadler (4)	206 (-10)	240000
Feb 22	Outback Steakhouse Pro-Am	Florida	1600000	Mark McNulty (1)	200 (-13)	241000
Mar 7	MasterCard Classic	Mexico	2000000	Ed Fiori (1)	210 (-6)	300000
Mar 14	SBC Classic	California	1500000	Gil Morgan (23)	202 (-14)	225000
Mar 21	Toshiba Senior Classic	California	1600000	Tom Purtzer (2)	198 (-15)	240000
Apr 18	Blue Angels Classic	Florida	1500000	Tom Jenkins (5)	196 (-14)	225500
Apr 25	Liberty Mutual Legends of Golf	Georgia	3100000	Hale Irwin (39)	205 (-11)	364000
May 2	Bruno's Memorial Classic	Alabama	1500000	Bruce Fleisher (18)	200 (-16)	225000
May 9	FedEx Kinko's Classic	Texas	1600000	Larry Nelson (18)	209 (-7)	240000
May 23	Allianz Championship	Iowa	1500000	D. A. Weibring (2)	204 (-9)	225000
May 31	Senior PGA Championship	Kentucky	2000000	Hale Irwin (40)	276 (-8)	360000
Jun 6	Farmers Charity Classic	Michigan	1600000	Jim Thorpe (8)	203 (-13)	240000
Jun 13	Bayer Advantage Celebrity Pro-Am	Missouri	1650000	Allen Doyle (9)	131 (-13)	247500
Jun 27	Bank of America Championship	Massachusetts	1550000	Craig Stadler (5)	201 (-15)	232500
Jul 4	Commerce Bank Long Island Classic	New York	1500000	Jim Thorpe (9)	201 (-9)	225000
Jul 11	Ford Senior Players Championship	Michigan	2500000	Mark James (1)	275 (-13)	375000
Jul 25	Senior British Open	Northern Ireland	1832400	Pete Oakley (1)	284 (-4)	289153
Aug 1	U.S. Senior Open	Missouri	2600000	Peter Jacobsen (1)	272 (-12)	470000
Aug 8	3M Championship	Minnesota	1750000	Tom Kite (7)	203 (-13)	262500
Aug 22	Greater Hickory Classic at Rock Barn	North Carolina	1600000	Doug Tewell (8)	202 (-14)	240000
Aug 29	JELD-WEN Tradition	Oregon	2300000	Craig Stadler (6)	275 (-13)	345000
Sep 5	The First Tee Open at Pebble Beach	California	2000000	Craig Stadler (7)	201 (-15)	300000
Sep 12	Kroger Classic	Ohio	1500000	Bruce Summerhays (3)	201 (-15)	225000
Sep 26	SAS Championship	North Carolina	1800000	Craig Stadler (8)	199 (-17)	270000
Oct 3	Constellation Energy Classic	Maryland	1600000	Wayne Levi (2)	200 (-16)	240000
Oct 10	Administaff Small Business Classic	Texas	1600000	Larry Nelson (19)	202 (-14)	240000
Oct 17	SBC Championship	Texas	1500000	Mark McNulty (2)	195 (-19)	240000
