Week	Date	Opponent	Result	Attendance
1	September 17, 1961	at Baltimore Colts	L 27-24	54,259
2	September 23, 1961	Chicago Bears	L 21-17	53,315
3	October 1, 1961	Pittsburgh Steelers	W 24-14	40,707
4	October 8, 1961	at San Francisco 49ers	L 35-0	59,004
5	October 15, 1961	at Detroit Lions	L 14-13	45,873
6	October 22, 1961	at New York Giants	L 24-14	63,053
7	October 29, 1961	Detroit Lions	L 28-10	49,123
8	November 5, 1961	Minnesota Vikings	W 31-17	38,594
9	November 12, 1961	San Francisco 49ers	W 17-7	63,766
10	November 19, 1961	at Green Bay Packers	L 35-17	38,669
11	November 26, 1961	at Chicago Bears	L 28-24	45,965
12	December 3, 1961	at Minnesota Vikings	L 42-21	30,068
13	December 9, 1961	Baltimore Colts	W 34-17	41,268
14	December 17, 1961	Green Bay Packers	L 24-17	49,169
