Date	Episode	Official rating 4+	Share 4+	Official rating 16-39	Share 16-39
5 September 2010	1	4 261 993	27,80%	1 754 592	25,95%
12 September 2010	2	4 293 571	27,69%	1 733 311	24,64%
19 September 2010	3	4 352 478	29,15%	1 626 997	23,48%
26 September 2010	4	4 118 160	26,26%	1 569 621	21,59%
3 October 2010	5	4 345 232	27,59%	1 722 293	23,47%
10 October 2010	6	4 644 528	28,99%	1 768 557	24,39%
17 October 2010	7	4 868 327	29,18%	1 753 978	22,77%
24 October 2010	8	4 676 420	27,85%	1 749 496	22,65%
31 October 2010	9	4 356 524	27,66%	1 607 606	22,98%
7 November 2010	10	4 697 868	28,08%	1 748 685	22,67%
14 November 2010	11	4 970 335	30,01%	1 932 796	25,43%
21 November 2010	12	4 998 573	29,56%	1 892 106	24,59%
28 November 2010	13	5 694 227	32,72%	2 353 516	28,93%
