Place	Player	Country	Score	To par
1	Payne Stewart	United States	66	–4
2	Mark Carnevale	United States	67	–3
T3	Joe Durant	United States	68	–2
T3	Tom Lehman	United States	68	–2
T3	José María Olazábal	Spain	68	–2
T3	Bob Tway	United States	68	–2
T7	John Daly	United States	69	–1
T7	Jeff Maggert	United States	69	–1
T7	Jesper Parnevik	Sweden	69	–1
T10	Tom Kite	United States	70	E
T10	Matt Kuchar (a)	United States	70	E
T10	Colin Montgomerie	Scotland	70	E
T10	Andrew Magee	United States	70	E
T10	David Ogrin	United States	70	E
T10	Mark O'Meara	United States	70	E
