Team	Class	Day 1	Day 2	Behind
Team Peugeot Total	LMP1	3:18.513	3:20.566	Leader
Peugeot Sport Total	LMP1	3:18.682	3:24.966	+0.169
Team Peugeot Total	LMP1	3:20.451	3:21.490	+1.938
Audi Sport North America	LMP1	3:24.105	3:23.847	+5.334
Audi Sport Team Joest	LMP1	3:24.287	3:26.432	+5.774
Charouz Racing System	LMP1	3:34.211	3:25.158	+6.645
Audi Sport North America	LMP1	3:27.580	3:25.289	+6.776
Dome Racing Team	LMP1	3:29.352	3:26.928	+8.415
Pescarolo Sport	LMP1	3:28.533	3:32.407	+10.020
Team Oreca-Matmut	LMP1	3:30.490	3:32.176	+11.977
Pescarolo Sport	LMP1	3:30.618	3:30.905	+12.105
Charouz Racing System	LMP1	3:31.910	3:31.135	+12.622
Team Oreca-Matmut	LMP1	3:31.243	3:33.139	+12.730
Van Merksteijn Motorsport	LMP2	3:34.078	3:32.301	+13.788
Epsilon Euskadi	LMP1	3:41.526	3:32.939	+14.426
Team Essex	LMP2	3:33.441	3:38.621	+14.928
Epsilon Euskadi	LMP1	3:39.158	3:34.281	+15.768
Rollcentre Racing	LMP1	3:35.450	3:35.020	+16.507
Barazi-Epsilon	LMP2	3:35.344	3:44.555	+16.831
Speedy Racing Team Sebah	LMP2	3:35.401	–	+16.888
Creation Autosportif	LMP1	3:35.994	3:39.638	+17.481
Terramos	LMP1	3:37.560	3:40.318	+19.047
Chamberlain-Synergy Motorsport	LMP1	3:38.024	3:43.492	+19.511
Embassy Racing	LMP2	3:39.926	3:49.019	+21.413
Ray Mallock Ltd.	LMP2	3:44.188	3:40.027	+21.514
Quifel ASM Team	LMP2	3:41.193	3:44.074	+22.680
Saulnier Racing	LMP1	3:46.666	3:42.162	+23.649
Saulnier Racing	LMP2	3:42.545	4:10.588	+24.032
Trading Performance	LMP2	3:46.773	3:43.148	+24.635
Team Bruichladdich Radical	LMP2	3:47.935	3:46.631	+28.118
Corvette Racing	GT1	3:49.406	3:47.668	+29.155
Autocon Motorsports	LMP1	3:56.108	3:47.695	+29.182
Larbre Compétition	GT1	3:50.920	3:47.761	+29.248
Kruse Schiller Motorsport	LMP2	3:47.802	–	+29.289
Corvette Racing	GT1	3:50.766	3:48.539	+30.026
Aston Martin Racing	GT1	3:52.266	3:48.994	+30.481
Aston Martin Racing	GT1	3:52.527	3:49.060	+30.547
IPB Spartak Racing	GT1	3:52.175	3:53.000	+33.662
Luc Alphand Aventures	GT1	3:53.990	3:52.993	+34.480
Team Modena	GT1	3:58.193	3:53.031	+34.518
Tōkai University YGK	LMP1	3:53.143	–	+34.630
Vitaphone Racing Team	GT1	3:57.371	3:53.475	+34.962
Luc Alphand Aventures	GT1	3:55.736	3:58.025	+37.223
IMSA Performance Matmut	GT2	4:00.793	3:58.152	+39.639
Team Felbermayr-Proton	GT2	4:02.517	3:59.072	+40.559
Virgo Motorsport	GT2	4:01.293	3:59.820	+41.307
Flying Lizard Motorsports	GT2	4:00.106	4:02.799	+41.593
Farnbacher Racing	GT2	4:05.098	4:01.464	+42.951
Risi Competizione	GT2	4:01.598	4:02.412	+43.085
BMS Scuderia Italia	GT2	4:02.080	4:03.109	+43.577
JMB Racing	GT2	4:03.293	4:14.033	+44.780
Snoras Spyker Squadron	GT2	4:05.096	4:03.641	+45.138
AF Corse	GT2	4:05.660	4:03.810	+45.297
Risi Competizione	GT2	4:07.978	4:04.515	+46.002
Speedy Racing Team	GT2	4:11.564	4:08.284	+49.771
