Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 8	Seiko-Tucson Senior Match Play Championship	Arizona	306000	Gene Littler (3)	1 up	100000
Jan 22	PGA Seniors' Championship	Florida	200000	Arnold Palmer (6)	282 (-6)	35000
Mar 25	The Vintage Invitational	California	300000	Don January (12)	280 (-7)	50000
Apr 8	Daytona Beach Seniors Golf Classic	Florida	150000	Orville Moody (1)	213 (-3)	22500
Apr 22	Senior PGA Tour Roundup	Arizona	200000	Billy Casper (4)	202 (-14)	30000
May 6	MONY Senior Tournament of Champions	California	100000	Orville Moody (2)	288 (E)	30000
Jun 3	Gatlin Brothers Seniors Golf Classic	Nevada	220000	Dan Sikes (2)	210 (-6)	33750
Jun 17	Roy Clark/Skoal Bandit Senior Challenge	Oklahoma	200000	Miller Barber (11)	212 (-1)	30000
Jun 24	Senior Tournament Players Championship	Ohio	240000	Arnold Palmer (7)	276 (-8)	36000
Jul 1	U.S. Senior Open	New York	200000	Miller Barber (12)	286 (-2)	36448
Jul 8	Greater Syracuse Senior's Pro Classic	New York	200000	Miller Barber (13)	206 (-7)	30000
Jul 15	Merrill Lynch/Golf Digest Commemorative Pro-Am	Rhode Island	150000	Roberto DeVicenzo (2)	206 (-10)	22500
Jul 28	Denver Post Champions of Golf	Colorado	200000	Miller Barber (14)	208 (-8)	30000
Aug 12	du Maurier Champions	Canada	225000	Don January (13)	194 (-19)	33750
Sep 3	Citizens Union Senior Golf Classic	Kentucky	175000	Gay Brewer (1)	204 (-9)	26050
Sep 9	United Virginia Bank Seniors	Virginia	200000	Dan Sikes (3)	207 (-9)	30060
Sep 16	World Seniors Invitational	North Carolina	150000	Peter Thomson (1)	281 (-7)	25000
Sep 23	Digital Middlesex Classic	Massachusetts	175000	Don January (14)	209 (-7)	26000
Oct 14	Suntree Senior Classic	Florida	150000	Lee Elder (1)	200 (-16)	22500
Oct 21	Hilton Head Seniors International	South Carolina	200000	Lee Elder (2)	203 (-13)	30000
Dec 2	Quadel Seniors Classic	Florida	200000	Arnold Palmer (8)	205 (-11)	30060
