Place	Player	Country	Score	To par
1	Payne Stewart	United States	67-70=137	–7
T3	Nolan Henke	United States	67-71=138	–6
T3	Corey Pavin	United States	71-67=138	–6
T3	Scott Simpson	United States	70-68=138	–6
T5	Fred Couples	United States	70-70=140	–4
T5	Scott Hoch	United States	69-71=140	–4
T5	Craig Stadler	United States	71-69=140	–4
T8	Jodie Mudd	United States	71-70=141	–3
T8	Ian Woosnam	Wales	73-68=141	–3
T10	Rodger Davis	Australia	74-68=142	–2
T10	Jim Gallagher, Jr.	United States	70-72=142	–2
T10	Ed Humenik	United States	72-70=142	–2
T10	Brian Kamm	United States	69-73=142	–2
T10	Sandy Lyle	Scotland	72-70=142	–2
T10	Andy North	United States	71-71=142	–2
