Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
Alabama (2008)	William	John	James	Jacob	Christopher	Joshua	Michael	Jackson	Jayden	Ethan
Alaska (2008)	James	Jacob	Michael	Ethan	Tyler	Aiden	Joshua	Joseph	Noah	Matthew
Arizona (2008)	Anthony	Daniel	Angel	Alexander	Jacob	Michael	Ethan	Jose	Jesus	Joshua
Arkansas (2008)	Jacob	Ethan	William	Landon	Joshua	Jackson	Aiden	James	Hunter	Christopher
California (2008)	Daniel	Anthony	Angel	Jacob	David	Alexander	Andrew	Joshua	Christopher	Jose
Colorado (2008)	Alexander	Jacob	William	Ethan	Noah	Gabriel	Joshua	Daniel	Anthony	Elijah
Connecticut (2008)	Michael	Ryan	Matthew	Alexander	Jacob	Christopher	William	Anthony	Nicholas	Andrew
Delaware (2008)	Michael	Jacob	William	Christopher	Joshua	Jayden	Anthony	James	John	Ryan
District of Columbia (2008)	William	Alexander	Michael	John	Christopher	Samuel	Daniel	Kevin	Elijah	James
Florida (2008)	Jayden	Joshua	Michael	Anthony	Christopher	Daniel	Jacob	Alexander	Matthew	David
Georgia (2008)	William	Christopher	Joshua	Michael	Jacob	Jayden	Ethan	James	Elijah	David
Hawaii (2008)	Ethan	Noah	Isaiah	Jayden	Elijah	Joshua	Jacob	Aiden	Tyler	James
Idaho (2008)	Ethan	William	Jacob	Alexander	Logan	Aiden	Carter	Michael	Samuel	Daniel
Illinois (2008)	Alexander	Daniel	Michael	Jacob	Anthony	Ethan	Joshua	Joseph	William	Matthew
Indiana (2008)	Jacob	Ethan	Noah	William	Aiden	Elijah	Alexander	Jackson	Michael	Logan
Iowa (2008)	Ethan	William	Carter	Jackson	Logan	Noah	Jacob	Gavin	Benjamin	Landon
Kansas (2008)	Ethan	Aiden	Jacob	Alexander	William	Gabriel	Jackson	Michael	Logan	Daniel
Kentucky (2008)	William	Jacob	James	Ethan	Landon	Brayden	Logan	Aiden	Michael	Noah
Louisiana (2008)	Ethan	Christopher	Jacob	Jayden	Michael	William	Landon	Joshua	Christian	Noah
Maine (2008)	Jacob	Benjamin	Noah	Ethan	Caleb	Gavin	Joshua	Aiden	Logan	Jackson
Maryland (2008)	Jacob	Michael	Ryan	Joshua	William	Christopher	Ethan	Jayden	Andrew	Anthony
Massachusetts (2008)	Ryan	Michael	Jacob	Matthew	William	John	Jack	Nicholas	Joseph	Alexander
Michigan (2008)	Jacob	Ethan	Michael	Alexander	Logan	Aiden	Noah	Andrew	Joseph	Joshua
Minnesota (2008)	Ethan	Alexander	Logan	William	Jacob	Benjamin	Mason	Noah	Samuel	Gavin
Mississippi (2008)	William	James	Christopher	Jayden	John	Joshua	Michael	Ethan	Landon	Jacob
Missouri (2008)	Jacob	Ethan	William	Logan	Alexander	Jackson	Chase	Noah	Michael	Andrew
Montana (2008)	Ethan	Jacob	William	Wyatt	Gabriel	Logan	Brayden	James	Andrew	Hunter
Nebraska (2008)	Jacob	Ethan	Logan	Noah	Samuel	Gavin	Alexander	William	Anthony	Carter
Nevada (2008)	Anthony	Daniel	Alexander	Jacob	Michael	Angel	Christopher	Joshua	David	Joseph
New Hampshire (2008)	Jacob	Owen	Ethan	Logan	Aiden	William	Ryan	Benjamin	Gavin	Jack
New Jersey (2008)	Michael	Matthew	Anthony	Christopher	Daniel	Ryan	Joseph	Alexander	Nicholas	Jayden
New Mexico (2008)	Isaiah	Daniel	Elijah	Jacob	Joshua	Michael	Noah	Jose	Christopher	Ethan
New York (2008)	Michael	Matthew	Anthony	Daniel	Ryan	Joseph	Jayden	Christopher	Jacob	Alexander
North Carolina (2008)	William	Joshua	Jacob	Christopher	Ethan	Michael	James	Jayden	Noah	David
North Dakota (2008)	Carter	Aiden	Mason	Gavin	Wyatt	Logan	Brody	Landon	Brayden	Ethan
Ohio (2008)	Jacob	Ethan	Michael	Logan	Andrew	William	Noah	Aiden	Joseph	Alexander
Oklahoma (2008)	Ethan	Jacob	Logan	Michael	William	Aiden	Alexander	James	Noah	Joshua
Oregon (2008)	Ethan	Alexander	Jacob	Logan	Aiden	Benjamin	Noah	Wyatt	Andrew	Daniel
Pennsylvania (2008)	Michael	Ryan	Jacob	Matthew	Joseph	Logan	Anthony	Ethan	Alexander	Nicholas
Puerto Rico (2005)	Luis	Jose	Angel	Carlos	Diego	Sebastian	Gabriel	Kevin	Juan	Adrian
Rhode Island (2008)	Michael	Jayden	Jacob	Ethan	Anthony	Ryan	Matthew	Noah	Andrew	Jack
South Carolina (2008)	William	Joshua	Christopher	Jayden	Jacob	James	Michael	Ethan	John	Noah
South Dakota (2008)	Jacob	Mason	Noah	Jackson	Ethan	Logan	Isaac	Carter	Samuel	Gavin
Tennessee (2008)	William	Jacob	James	Ethan	Elijah	Joshua	Jackson	Christopher	Noah	Michael
Texas (2008)	Jose	Jacob	Daniel	Christopher	Joshua	David	Angel	Ethan	Juan	Michael
Utah (2008)	Ethan	Samuel	William	Jacob	Benjamin	Joshua	Alexander	Andrew	Daniel	Jackson
Vermont (2008)	Noah	Jacob	Benjamin	Logan	Mason	Wyatt	Owen	Ryan	Ethan	Evan
Virginia (2008)	William	Jacob	Ethan	Joshua	Michael	Christopher	James	Matthew	Jayden	Alexander
Washington (2008)	Ethan	Jacob	Alexander	Daniel	Logan	William	Noah	Aiden	Samuel	Joshua
West Virginia (2008)	Jacob	Ethan	Hunter	Landon	Noah	Aiden	James	Brayden	Joshua	Logan
Wisconsin (2008)	Ethan	Mason	Jacob	Logan	Benjamin	Alexander	Aiden	Gavin	Noah	William
Wyoming (2008)	James	Wyatt	Hunter	Jacob	Tyler	Gabriel	Anthony	Joseph	Noah	Christopher
