Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Glen Seabrooke	Center	Canada	Peterborough Petes ( OHL )
2	Bruce Rendall	Left Wing	Canada	Chatham Maroons ( OPJHL )
3	Darryl Gilmour	Goaltender	Canada	Moose Jaw Warriors ( WHL )
4	Shane Whelan	Center	Canada	Oshawa Generals (OHL)
5	Paul Marshall	Defense	United States	Northwood School (N.Y.)
5	Daril Holmes	Right Wing	Canada	Kingston Canadians (OHL)
6	Ken Alexander	Defense	United States	Kitchener Rangers (OHL)
7	Tony Horacek	Left Wing	Canada	Kelowna Wings (WHL)
8	Mike Cusack	Forward	United States	Dubuque Fighting Saints ( USHL )
9	Gord Murphy	Defense	Canada	Oshawa Generals (OHL)
11	Rod Williams	Right Wing	Canada	Kelowna Wings (WHL)
12	Paul Maurice	Defense	Canada	Windsor Compuware Spitfires (OHL)
