Year	Event	Record	Athlete	Nationality
2008	5000 m	14:11.15	Tirunesh Dibaba	Ethiopia
2008	800 m (junior)	1:42.69	Abubaker Kaki	Sudan
2007	5000 m	14:16.63	Meseret Defar	Ethiopia
2004	5000 m	14:24.68	Elvan Abeylegesse	Turkey
2004	5000 m (junior)	14:30.88	Tirunesh Dibaba	Ethiopia
2000	Javelin throw	69.48 m	Trine Hattestad	Norway
1997	10000 m	26:31.32	Haile Gebreselassie	Ethiopia
1994	10000 m	26:52.23	William Sigei	Kenya
1994	20000 m walk	2:04:55	Bernardo Segura	Mexico
1993	10000 m	26:58.38	Yobes Ondieki	Kenya
1986	10000 m	30:13.74	Ingrid Kristiansen	Norway
1985	5000 m	13:00.40	Saïd Aouita	Morocco
1984	5000 m	14:58.89	Ingrid Kristiansen	Norway
1984	10000 m	30:59.42	Ingrid Kristiansen	Norway
1982	5000 m	13:00.41	David Moorcroft	Great Britain
1981	1000 m	2:12.81	Sebastian Coe	Great Britain
1979	800 m	1:42.33	Sebastian Coe	Great Britain
1975	3000 m	8:46.6	Grete Waitz	Norway
1975	3000 m steeplechase	8:10.4	Anders Gärderud	Sweden
1974	1000 m	2:13.9	Rick Wohlhuter	United States
1965	10000 m	27:39.4	Ron Clarke	Australia
