Round	Pick	Name	Position	School
1	23	Jim Jeffcoat	Defensive End	Arizona State
2	50	Michael Walter	Linebacker	Oregon
3	77	Bryan Caldwell	Defensive End	Arizona State
4	108	Chris Faulkner	Tight End	Florida
5	135	Chuck McSwain	Running Back	Clemson
6	162	Reggie Collier	Quarterback	Southern Mississippi
7	189	Chris Schultz	Offensive Tackle	Arizona
8	220	Lawrence Ricks	Running Back	Michigan
9	246	Al Gross	Defensive Back	Arizona
10	273	Eric Moran	Offensive Guard	Washington
11	300	Dan Taylor	Offensive Tackle	Idaho State
12	331	Lorenzo Bouier	Running Back	Maine
