Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 4, 1983	at Kansas City Chiefs	L 13-17	Arrowhead Stadium	0-1	42,531
2	September 11, 1983	at New York Jets	W 17-10	Shea Stadium	1-1	50,066
3	September 18, 1983	San Diego Chargers	W 34-31	Kingdome	2-1	61,714
4	September 25, 1983	Washington Redskins	L 17-27	Kingdome	2-2	60,718
5	October 2, 1983	at Cleveland Browns	W 24-9	Cleveland Stadium	3-2	75,446
6	October 9, 1983	at San Diego Chargers	L 21-28	Jack Murphy Stadium	3-3	49,132
7	October 16, 1983	Los Angeles Raiders	W 38-36	Kingdome	4-3	60,967
8	October 23, 1983	Pittsburgh Steelers	L 21-27	Kingdome	4-4	61,615
9	October 30, 1983	at Los Angeles Raiders	W 34-21	Los Angeles Memorial Coliseum	5-4	49,708
10	November 6, 1983	Denver Broncos	W 27-19	Kingdome	6-4	61,189
11	November 13, 1983	at St. Louis Cardinals	L 28-33	Busch Memorial Stadium	6-5	33,280
12	November 20, 1983	at Denver Broncos	L 27-38	Mile High Stadium	6-6	74,710
13	November 27, 1983	Kansas City Chiefs	W 51-48 OT	Kingdome	7-6	56,793
14	December 4, 1983	Dallas Cowboys	L 10-35	Kingdome	7-7	63,352
15	December 11, 1983	at New York Giants	W 17-12	Giants Stadium	8-7	48,945
16	December 18, 1983	New England Patriots	W 24-6	Kingdome	9-7	59,688
