Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	11–5	Rafael dos Anjos	Decision (unanimous)	UFC 154	3	5:00	Montreal, Quebec , Canada
Win	11–4	John Alessio	Decision (unanimous)	UFC 145	3	5:00	Atlanta, Georgia , United States
Win	10–4	Nik Lentz	Decision (unanimous)	UFC 140	3	5:00	Toronto , Ontario , Canada
Loss	9–4	Benson Henderson	Decision (unanimous)	UFC 129	3	5:00	Toronto, Ontario , Canada
Win	9–3	Dustin Hazelett	Submission (triangle choke)	UFC 124	1	2:33	Montreal, Quebec , Canada
Loss	8–3	Jim Miller	Decision (unanimous)	UFC 111	3	5:00	Newark, New Jersey , United States
Win	8–2	Joe Brammer	Submission (standing rear naked choke)	The Ultimate Fighter: Heavyweights Finale	1	3:36	Las Vegas, Nevada , United States
Win	7–2	David Bielkheden	Submission (rear naked choke)	UFC 97	1	4:57	Montreal, Quebec , Canada
Win	6–2	Alvin Robinson	Submission (rear naked choke)	UFC 91	3	3:16	Las Vegas, Nevada , United States
Loss	5–2	Mac Danzig	Submission (rear naked choke)	UFC 83	3	3:48	Montreal, Quebec , Canada
Win	5–1	Doug Evans	Decision (unanimous)	UFC 79	3	5:00	Las Vegas, Nevada , United States
Loss	4–1	Frankie Edgar	TKO (punches)	UFC 73	1	4:55	Sacramento, California , United States
Win	4–0	Garret Davis	Submission (rear naked choke)	KOTC: Capital Chaos	1	2:35	Hull, Quebec , Canada
Win	3–0	John Mahlow	Submission (armbar)	KOTC: Freedom Fight	1	4:09	Gatineau, Quebec , Canada
Win	2–0	Kevin Manderson	Submission (rear naked choke)	APEX: A Night Of Champions	1	1:25	Gatineau, Quebec , Canada
Win	1–0	Mark Colangelo	TKO (injury)	TKO 15: Unstoppable	1	5:00	Montreal, Quebec , Canada
