Driver	Team	Laps	Time/Retired	Grid	Points
Will Power	Team Australia	73	1:45:58.568	7	31
Neel Jani	PKV Racing	73	+2.972	9	28
Justin Wilson	RSPORTS	73	+3.480	2	25
Simon Pagenaud	Team Australia	73	+5.643	4	23
Bruno Junqueira	Dale Coyne Racing	73	+20.738	5	21
Robert Doornbos	Minardi Team USA	72	+ 1 Lap	12	19
Ryan Dalziel	Pacific Coast Motorsports	72	+ 1 Lap	11	17
Alex Tagliani	RSPORTS	71	+ 2 Laps	6	15
Sébastien Bourdais	N/H/L Racing	67	Contact	1	16
Oriol Servia	Forsythe Racing	56	Contact	3	11
Graham Rahal	N/H/L Racing	52	Contact	15	10
Dan Clarke	Minardi Team USA	43	Contact	13	9
Jan Heylen	Conquest Racing	1	Contact	8	8
Paul Tracy	Forsythe Racing	0	Contact	10	7
Tristan Gommendy	PKV Racing	0	Contact	14	6
Katherine Legge	Dale Coyne Racing	0	Contact	16	5
Alex Figge	Pacific Coast Motorsports	0	Contact	17	4
