Season	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1930/1931	Kaj Andersen, Københavns BK	Ruth Frederiksen, Skovshoved IF	Sejlit Raaskou Sven Strømann, Skovshoved IF	Gerda Frederiksen Ruth Frederiksen, Skovshoved IF	Aksel Hansen Bodil Clausen, Skovshoved IF
1931/1932	Svend Strømann, Skovshoved IF	Ruth Frederiksen, Skovshoved IF	Sejlit Raaskou Sven Strømann, Skovshoved IF	Gerda Frederiksen Ruth Frederiksen, Skovshoved IF	Sejlit Raaskou Gerda Frederiksen, Skovshoved IF
1932/1933	Kaj Andersen, Københavns BK	Ruth Frederiksen, Skovshoved IF	Sejlit Raaskou Sven Strømann, Skovshoved IF	Gerda Frederiksen Ruth Frederiksen, Skovshoved IF	Sven Strømann Ruth Frederiksen, Skovshoved IF
1933/1934	Svend Strømann, Skovshoved IF	Ruth Frederiksen, Skovshoved IF	Axel Hansen Sven Strømann, Skovshoved IF	Gerda Frederiksen Ruth Frederiksen, Skovshoved IF	Sven Strømann Ruth Frederiksen, Skovshoved IF
1934/1935	Poul Vagn Nielsen, Gentofte BK	Ruth Frederiksen, Skovshoved IF	Axel Hansen Sven Strømann, Skovshoved IF	Gerda Frederiksen Ruth Frederiksen, Skovshoved IF	Sven Strømann Ruth Frederiksen, Skovshoved IF
1936/1937	Eric Kirchoff, Gentofte BK	Ruth Frederiksen, Skovshoved IF	Tage Madsen Carl Frøhlke, Skovshoved IF	Gerda Frederiksen Ruth Dalsgaard, Skovshoved IF	Aksel Hansen Ruth Dalsgaard, Skovshoved IF
1937/1938	Tage Madsen, Skovshoved IF	Tonny Olsen , Gentofte BK	Tage Madsen Carl Frøhlke, Skovshoved IF	Bodil Rise Tonny Olsen , Gentofte BK	Tage Madsen Bodil Strømann, Skovshoved IF
1938/1939	Conny Jepsen, Skovshoved IF	Tonny Olsen , GentofteBK	Gunnar Holm Niels Kjerns, Skovshoved IF	Bodil Rise Tonny Olsen , Gentofte BK	Tage Madsen Ruth Dalsgaard, Skovshoved IF
1939/1940	Tage Madsen, Skovshoved IF	Tonny Olsen , Gentofte BK	Tage Madsen Carl Frøhlke, Skovshoved IF	Bodil Duus-Rise Tonny Olsen , Gentofte BK	Tage Madsen Ruth Dalsgaard, Skovshoved IF
1941/1942	Tage Madsen, Skovshoved IF	Tonny Olsen , Gentofte BK	Tage Madsen Carl Frøhlke, Skovshoved IF	Ruth Dalsgaard Jytte Thayssen, Skovshoved IF	Tage Madsen Ruth Dalsgaard, Skovshoved IF
1943/1944	Tage Madsen, Skovshoved IF	Agnete Friis, Amager BC	Tage Madsen Carl Frøhlke, Skovshoved IF	Marie Ussing Jytte Thayssen, Skovshoved IF	Jan Schmidt Jytte Thayssen, Skovshoved IF
1944/1945	Tage Madsen, Skovshoved IF	Tonny Olsen , Gentofte BK	Tage Madsen Carl Frøhlke, Skovshoved IF	Marie Ussing Jytte Thayssen, Skovshoved IF	Jan Schmidt Jytte Thayssen, Skovshoved IF
1949/1950	Jørn Skaarup, Københavns BK	Tonny Ahm , Gentofte BK	Ib Olesen, Københavns BK John Nygaard, Amager BC	Agnete Friis Birgit Rostgaard Frøhne, Gentofte BK	Poul Holm Tonny Ahm , Gentofte BK
1950/1951	Poul Holm, Gentofte BK	Kirsten Thorndahl, Amager BK	Jørn Skaarup Preben Dabelsteen, Københavns BK	Aase Schiøtt Jacobsen Tonny Ahm , Gentofte BK	Arve Lossmann Kirsten Thorndahl, Amager BC
1951/1952	Poul Holm, Gentofte BK	Tonny Ahm , Gentofte BK	Poul Holm Ole Jensen, Gentofte BK	Jytte Kjems-Thayssen Marie Ussing, Skovshoved IF	Poul Holm Tonny Ahm , Gentofte BK
1966/1967	Erland Kops , Københavns BK	Lonny Funch, Skovshoved IF	Henning Borch Jørgen Mortensen, Amager BC	Marianne Svensson Ulla Strand , Københavns BK	Per Walsøe Pernille Mølgaard Hansen, Gentofte BK
1969/1970	Svend Pri Amager BC	Imre Rietveld Nielsen, Nykøbing F	Svend Pri , Amager BC Per Walsøe, Gentofte BK	Karin Jørgensen Ulla Strand , Københavns BK	Per Walsøe Pernille Mølgaard Hansen, Gentofte BK
1970/1971	Jørgen Mortensen, Amager BC	Lizbeth von Barnekow, Charlottenlund BK	Svend Pri , Amager BC Per Walsøe, Gentofte BK	Karin Jørgensen Ulla Strand , Københavns BK	Svend Pri , Amager BC Ulla Strand , Københavns BK
