Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1991	Peugeot Talbot Sport	Keke Rosberg Pierre-Henri Raphanel	C1	68	DNF	DNF
1992	Peugeot Talbot Sport	Derek Warwick Mark Blundell	C1	352	1st	1st
1993	Peugeot Talbot Sport	Thierry Boutsen Teo Fabi	C1	374	2nd	2nd
1994	Le Mans Porsche Team Joest Racing	Hurley Haywood Mauro Baldi	GT1	344	1st	1st
1995	Kokusai Kaihatsu Racing	Masanori Sekiya JJ Lehto	GT1	298	1st	1st
1996	Porsche AG	Karl Wendlinger Scott Goodyear	GT1	341	3rd	2nd
1997	Porsche AG	Emmanuel Collard Ralf Kelleners	GT1	327	DNF	DNF
1998	Porsche AG Joest Racing	Michele Alboreto Stefan Johansson	LMP1	107	DNF	DNF
1999	BMW Motorsport	Joachim Winkelhock Pierluigi Martini	LMP	365	1st	1st
2000	Mopar Team Oreca	Nicolas Minassian Jean-Philippe Belloc	LMP900	1	DNF	DNF
2001	Viper Team Oreca	Stéphane Sarrazin Franck Montagny	LMP900	126	DNF	DNF
2002	Audi Sport Japan Team Goh	Hiroki Katoh Seiji Ara	LMP900	358	7th	6th
