Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	9-8-1	Kazuhiro Nakamura	Decision (unanimous)	ASTRA: Yoshida's Farewell	3	5:00	Tokyo , Japan
Win	9-7-1	Satoshi Ishii	Decision (unanimous)	Dynamite!! 2009	3	5:00	Saitama , Japan
Loss	8-7-1	Sanae Kikuta	Decision (split)	World Victory Road Presents: Sengoku no Ran 2009	3	5:00	Saitama , Japan
Win	8-6-1	Maurice Smith	Submission (neck crank)	World Victory Road Presents: Sengoku 3	1	3:23	Saitama , Japan
Loss	7-6-1	Josh Barnett	Submission (heel hook)	World Victory Road Presents: Sengoku 1	3	3:23	Tokyo , Japan
Loss	7-5-1	James Thompson	TKO (punches)	Pride Shockwave 2006	1	7:50	Saitama , Japan
Loss	7-4-1	Mirko Filipović	TKO (leg kicks)	Pride Critical Countdown Absolute	1	7:38	Saitama , Japan
Win	7-3-1	Yōsuke Nishijima	Submission (triangle choke)	Pride Total Elimination Absolute	1	2:33	Osaka , Japan
Win	6-3-1	Naoya Ogawa	Submission (armbar)	Pride Shockwave 2005	1	6:04	Saitama , Japan
Win	5-3-1	Tank Abbott	Submission (single wing choke)	Pride Final Conflict 2005	1	7:40	Saitama , Japan
Loss	4-3-1	Wanderlei Silva	Decision (split)	Pride Total Elimination 2005	3	5:00	Osaka , Japan
Loss	4-2-1	Rulon Gardner	Decision (unanimous)	Pride Shockwave 2004	3	5:00	Saitama , Japan
Win	4-1-1	Mark Hunt	Submission (armbar)	Pride Critical Countdown 2004	1	5:25	Saitama , Japan
Draw	3-1-1	Royce Gracie	Draw (time limit)	Pride Shockwave 2003	2	10:00	Saitama , Japan
Loss	3-1	Wanderlei Silva	Decision (unanimous)	Pride Final Conflict 2003	2	5:00	Tokyo , Japan
Win	3-0	Kiyoshi Tamura	Submission (ezekiel choke)	Pride Total Elimination 2003	1	5:06	Saitama , Japan
Win	2-0	Masaaki Satake	Submission (neck lock)	Inoki Bom-Ba-Ye 2002	1	0:50	Saitama , Japan
Win	1-0	Don Frye	Technical submission (armbar)	Pride 23	1	5:32	Tokyo , Japan
