Game	Date	Team	Score	Record	Streak
26	December 5	Portland Trail Blazers	114–110	11–15	Win 1
27	December 7	New York Knicks	108–113	11–16	Loss 1
28	December 9	Boston Celtics (at Toronto, Canada)	114–118	11–17	Loss 2
29	December 11	@ Atlanta Hawks	132–127 (OT)	12–17	Win 1
30	December 12	Boston Celtics (at Providence, RI)	119–126	12–18	Loss 1
31	December 14	@ Cleveland Cavaliers	102–98	13–18	Win 1
32	December 18	Cleveland Cavaliers	100–93	14–18	Win 2
33	December 21	New York Knicks	117–115	15–18	Win 3
34	December 22	@ Kansas City-Omaha Kings	112–122	15–19	Loss 1
35	December 23	Capital Bullets (at Toronto, Canada)	85–110	15–20	Loss 2
36	December 26	Boston Celtics	123–125	15–21	Loss 3
37	December 29	@ Phoenix Suns	120–108	16–21	Win 1
38	December 30	@ Los Angeles Lakers	105–108	16–22	Loss 1
