Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 15, 1974	at Pittsburgh Steelers	L 0–30	0–1	Three Rivers Stadium	48890
2	September 22, 1974	Green Bay Packers	L 13–20	0–2	Memorial Stadium	41252
3	September 29, 1974	at Philadelphia Eagles	L 10–30	0–3	Veterans Stadium	64205
4	October 6, 1974	at New England Patriots	L 3–42	0–4	Schaeffer Stadium	59502
5	October 13, 1974	Buffalo Bills	L 14–27	0–5	Memorial Stadium	40626
6	October 20, 1974	at New York Jets	W 35–20	1–5	Shea Stadium	51745
7	October 27, 1974	at Miami Dolphins	L 7–17	1–6	Miami Orange Bowl	65868
8	November 3, 1974	Cincinnati Bengals	L 14–24	1–7	Memorial Stadium	36110
9	November 10, 1974	Denver Broncos	L 6–17	1–8	Memorial Stadium	33244
10	November 17, 1974	at Atlanta Falcons	W 17–7	2–8	Atlanta Stadium	41278
11	November 24, 1974	New England Patriots	L 17–27	2–9	Memorial Stadium	34782
12	December 1, 1974	at Buffalo Bills	L 0–6	2–10	Rich Stadium	75325
13	December 8, 1974	Miami Dolphins	L 16–17	2–11	Memorial Stadium	34420
