Date	Competition	Venue	Result	Score	Goals
1/3/02	Super League VII	JJB Stadium	W	18-4	Deacon 3/3
10/3/02	Super League VII	Valley Parade	W	38-12	Deacon 5/7
24/3/02	Super League VII	Halton Stadium	W	22-16	Sykes 3/4
28/3/02	Super League VII	Valley Parade	W	32-18	Deacon 6/6
1/4/02	Super League VII	Belle Vue	W	44-12	Deacon 6/8
7/4/02	Super League VII	Griffin Park	L	14-15	Deacon 1/3
20/4/02	Super League VII	Valley Parade	W	54-22	Deacon 7/10
29/4/02	Super League VII	Valley Parade	W	44-18	Deacon 8/8
3/5/02	Super League VII	The Jungle	W	32-8	Deacon 8/8
10/5/02	Super League VII	Headingley Stadium	L	20-28	Deacon 4/4
17/5/02	Super League VII	Valley Parade	W	46-22	Deacon 7/8
24/5/02	Super League VII	Valley Parade	W	28-26	Deacon 4/5
2/6/02	Super League VII	Wilderspool	W	40-12	Deacon 6/7
7/6/02	Super League VII	Valley Parade	W	22-12	Deacon 7/7
23/6/02	Super League VII	The Willows	W	48-10	Deacon 8/8
28/6/02	Super League VII	Knowsley Road	L	26-34	Deacon 5/5
4/7/02	Super League VII	Valley Parade	W	44-6	Deacon 5/7, Withers 1/1
12/7/02	Super League VII	Valley Parade	W	36-18	Withers 5/5, Paul 1/1
19/7/02	Super League VII	The Boulevard	W	25-24	Deacon 6/6, Withers 1 DG
26/7/02	Super League VII	Valley Parade	W	40-18	Deacon 6/7
2/8/02	Super League VII	Valley Parade	W	46-18	Deacon 6/7, Withers 1/1
9/8/02	Super League VII	Shay Stadium	W	25-8	Deacon 4/4, Deacon 1 DG
16/8/02	Super League VII	Valley Parade	L	22-50	Deacon 5/5
25/8/02	Super League VII	The Jungle	L	14-44	Deacon 2/2, Withers 1/1
1/9/02	Super League VII	Valley Parade	W	46-14	Deacon 7/8
6/9/02	Super League VII	Headingley Stadium	W	20-18	Deacon 2/4
14/9/02	Super League VII	Valley Parade	W	32-14	Deacon 8/8
20/9/02	Super League VII	The Boulevard	W	32-18	Deacon 4/6
