Airing date	English title (Chinese title)	Number of episodes	Theme song (T) Sub-theme song (ST)	Genre
9 January– 3 Feb	The Romance of the White Hair Maiden 白髮魔女傳	20	T: "等你到白頭" ( Mo Kai Yin & Cass Phang )	Costume drama
6 February– 3 Mar	The Change of Fate 命轉乾坤	20	T: "多添一點真" ( David Lui )	Costume drama
6 Mar- 31 Mar	Man of Wisdom II 金牙大狀(貳)	20	T: "孔子曰" ( Roman Tam )	Costume drama
3 April– 28 Apr	Plain Love 情濃大地	20	T: "故地濃情" ( Kenny Ho )	Period drama
1 May– 26 May	Justice Pao 包青天(香港版)	20	T: "願世間有青天" ( George Lam )	Costume drama
29 May– 23 Jun	Forty Something 男人四十一頭家	20	T: "男人四十一頭家" ( Adam Cheng )	Modern drama
26 June– 4 Aug	Down Memory Lane 萬里長情	30	T: "心聲共鳴" ( Andy Lau )	Modern drama
7 August– 1 Sep	Stepping Stones 總有出頭天	20	T: "分甘同味" ( Natalis Chan & Alan Tam )	Modern drama
4 September– 29 September	Debts of a Life Time 忘情闊少爺	20	T: "還我真情" ( Alan Tam )	Modern drama
2 October– 27 October	From Act to Act 娛樂插班生	20	T: "是是非非是是非" ( Natalis Chan )	Modern drama
30 October– 24 November	A Good Match from Heaven 天降奇緣	20	T: "天降奇緣" ( Deric Wan )	Modern drama
27 November 1995- 16 February 1996	Justice Pao II 包青天II(香港版)	60	T: "願世間有青天" ( George Lam )	Costume drama
