Date	Visitor	Score	Home	Decision	Attendance	Record
November 2	Phoenix	5 – 0	Dallas	Smith	18,203	5–6–2
November 5	Dallas	5 – 0	Anaheim	Turco	17,174	6–6–2
November 7	Dallas	3 – 1	San Jose	Turco	17,496	7–6–2
November 8	Dallas	2 – 5	Phoenix	Turco	12,027	7–7–2
November 10	Dallas	5 – 6	Los Angeles	Turco	18,118	7–7–3
November 14	San Jose	4 – 3	Dallas	Turco	17,682	7–7–4
November 16	Colorado	1 – 6	Dallas	Smith	18,019	8–7–4
November 19	Los Angeles	0 – 3	Dallas	Smith	17,208	9–7–4
November 21	Anaheim	1 – 2	Dallas	Smith	18,584	10–7–4
November 23	Toronto	1 – 3	Dallas	Turco	18,409	11–7–4
November 25	Dallas	3 – 2	NY Rangers	Smith	18,200	12–7–4
November 26	Dallas	3 – 2	NY Islanders	Turco	8,161	13–7–4
November 28	Dallas	2 – 4	New Jersey	Turco	13,665	13–8–4
November 30	Dallas	1 – 4	Pittsburgh	Smith	17,132	13–9–4
