Date	Opponent	Score	Loss	Attendance	Record
May 1	Rangers	7 - 6	Lewis (3-2)	16,111	11-18
May 2	Angels	3 - 1	Lackey (1-3)	17,799	12-18
May 3	Angels	7 - 1	Shields (1-1)	21,007	13-18
May 4	Angels	8 - 2	Ortiz (4-3)	21,513	14-18
May 6	@ Rangers	15 - 5	Lewis (3-3)	20,092	15-18
May 7	@ Rangers	5 - 4	Sturtze (3-3)	18,508	15-19
May 8	@ Rangers	8 - 6	Drese (2-2)	20,177	16-19
May 9	@ Angels	6 - 1	Davis (1-1)	42,820	16-20
May 10	@ Angels	7 - 4	Ortiz (4-4)	43,661	17-20
May 11	@ Angels	4 - 2	Washburn (3-4)	32,129	18-20
May 13	Devil Rays	7 - 5	Sturtze (3-4)	14,007	18-21
May 14	Devil Rays	7 - 6	Brazelton (0-2)	29,013	19-21
May 15	Devil Rays	9 - 5	Davis (1-2)	20,417	19-22
May 16	@ Royals	18 - 1	George (4-3)	24,167	20-22
May 17	@ Royals	7 - 4	Grimsley (1-3)	25,032	21-22
May 18	@ Royals	4 - 3	Snyder (0-1)	15,462	22-22
May 19	@ White Sox	12 - 2	Wright (0-2)	19,628	23-22
May 20	@ White Sox	4 - 1	Davis (1-3)	12,857	23-23
May 21	@ White Sox	6 - 5	Politte (1-3)	13,076	23-24
May 22	@ Yankees	8 - 3	Pettitte (4-5)	45,777	24-24
May 23	@ Yankees	6 - 2	Mussina (7-3)	34,134	25-24
May 24	@ Yankees	5 - 2	Wells (6-2)	35,023	26-24
May 25	@ Yankees	5 - 3	Weaver (3-3)	40,940	27-24
May 26	White Sox	11 - 5	Buehrle (2-8)	19,009	28-24
May 27	White Sox	5 - 1	Colón (5-4)	19,365	29-24
May 28	White Sox	8 - 0	Escobar (2-2)	36,806	29-25
May 29	White Sox	3 - 2	Lidle (8-3)	20,010	29-26
May 30	Red Sox	13 - 2	Burkett (3-3)	21,381	30-26
May 31	Red Sox	10 - 7	Fossum (4-4)	28,809	31-26
