Class	Type	Quantity	Barry Nos.	GWR Nos.
A	0-6-0T	5	1–5	699–700, 702–703, 706
B	0-6-2T	25	6–20, 23–32	198–201, 203–204, 206–214, 223–232
B1	0-6-2T	42	38–46, 54–63, 73–78, 105–116, 122–126	233–235, 238, 240–277
C	2-4-2T	2	21–22	1322–1323
D	0-8-0	4	35–36, 92–93	1387–1390
E	0-6-0T	5	33–34, 50–51, 53	781–785
F	0-6-0ST	28	37, 47–49, 52, 64–65, 70–72, 99–104, 127–138	708, 710–726, 807, 729, 742, 747, 74, 776–780
G	0-4-4T	4	66–69	2–4, 9
H	0-8-2T	7	79–85	1380–1386
J	2-6-2T	11	86–91, 94–98	1311–1321
K	0-6-2T	6	117–121	193–197
L	0-6-4T	10	139–148	1347–1355, 1357
