Year (Ceremony)	Original title	English title	Director	Result
1960	A Morte Comanda o Cangaço	Death Commands Brigandage	Carlos Coimbra & Walter Guimarães Motta	Not Nominated
1962	O Pagador de Promessas	Keeper of Promises a[› ]	Anselmo Duarte	Nominee
1964	Deus e o Diabo na Terra do Sol	The Black God and the White Devil	Glauber Rocha	Not Nominated
1965	São Paulo, Sociedade Anônima	São Paulo Incorporated	Luis Sérgio Person	Not Nominated
1967	O Caso dos Irmãos Naves	The Case of the Nave Brothers	Luis Sérgio Person	Not Nominated
1968	As Amorosas	The Amorous Ones	Walter Hugo Khouri	Not Nominated
1970	O Dragão da Maldade Contra o Santo Guerreiro	Antonio das mortes	Glauber Rocha	Not Nominated
1971	Pecado Mortal	Mortal Sin	Miguel Faria, Jr.	Not Nominated
1972	Pra Quem Fica, Tchau	Pra Quem Fica, Tchau	Reginaldo Faria	Not Nominated
1973	Como Era Gostoso o Meu Francês	How Tasty Was My Little Frenchman	Nelson Pereira dos Santos	Not Nominated
1974	A Faca e o Rio	John, the Knife and the River	George Sluizer	Not Nominated
1975	A Noite do Espantalho	The Scarecrow's Night	Sérgio Ricardo	Not Nominated
1976	O Amuleto de Ogum	Ogum's Amulet	Nelson Pereira dos Santos	Not Nominated
1977	Xica da Silva	Xica	Cacá Diegues	Not Nominated
1978	Tenda dos Milagres	Tent of Miracles	Nelson Pereira dos Santos	Not Nominated
1979	A Lira do Delírio	The Lyre of Delight	Walter Lima, Jr.	Not Nominated
1981	Bye Bye Brasil	Bye Bye Brazil	Cacá Diegues	Not Nominated
1985	Memórias do Cárcere	Memoirs of Prison	Nelson Pereira dos Santos	Not Nominated
1987	A Hora da Estrela	The Hour of the Star	Suzana Amaral	Not Nominated
1988	Um Trem para as Estrelas	Subway to the Stars	Cacá Diegues	Not Nominated
1989	Romance da Empregada	The Story of Fausta	Bruno Barreto	Not Nominated
1990	Dias Melhores Virão	Better Days Ahead	Cacá Diegues	Not Nominated
1996	O Quatrilho	O Quatrilho	Fábio Barreto	Nominee
1997	Tieta do Agreste	Tieta do Agreste	Cacá Diegues	Not Nominated
1998	O que é isso, companheiro?	Four Days in September	Bruno Barreto	Nominee
1999	Central do Brasil b[› ]	Central Station	Walter Salles	Nominee
2000	Orfeu	Orfeu	Cacá Diegues	Not Nominated
2001	Eu, Tu, Eles	Me, You, Them	Andrucha Waddington	Not Nominated
2002	Abril Despedaçado	Behind the Sun	Walter Salles	Not Nominated
2003	Cidade de Deus c[› ]	City of God	Fernando Meirelles	Not Nominated
2004	Carandiru	Carandiru	Hector Babenco	Not Nominated
2005	Olga	Olga	Jayme Monjardim	Not Nominated
2006	Dois Filhos de Francisco	Two Sons of Francisco	Breno Silveira	Not Nominated
2007	Cinema, Aspirinas e Urubus	Cinema, Aspirins and Vultures	Marcelo Gomes	Not Nominated
2008	O Ano em Que Meus Pais Saíram de Férias	The Year My Parents Went On Vacation	Cao Hamburger	Made January Shortlist
2009	Última Parada 174	Last Stop 174	Bruno Barreto	Not Nominated
2010	Salve Geral	Time of Fear	Sérgio Rezende	Not Nominated
2011	Lula, o filho do Brasil	Lula, o filho do Brasil	Fábio Barreto	Not Nominated
2012	Tropa de Elite 2	The Elite Squad 2	José Padilha	Not Nominated
2013	O Palhaço	The Clown	Selton Mello	Not Nominated
2014	Neighbouring Sounds	O Som ao Redor	Kleber Mendonça Filho	TBD
