Date	Visitor	Score	Home	Decision	Attendance	Record
January 2	Atlanta	5 – 4	Carolina	Hedberg	13,506	20–20–1
January 4	Carolina	4 – 3	Atlanta	Lehtonen	16,097	20–21–1
January 6	Buffalo	2 – 5	Atlanta	Hedberg	15,213	21–21–1
January 8	Philadelphia	4 – 1	Atlanta	Hedberg	13,047	21–22–1
January 10	Florida	3 – 2	Atlanta	Lehtonen	14,805	21–22–2
January 12	Pittsburgh	2 – 3	Atlanta	Lehtonen	18,545	22–22–2
January 15	Atlanta	5 – 1	Detroit	Lehtonen	17,408	23–22–2
January 17	Montreal	3 – 2	Atlanta	Lehtonen	16,181	23–22–3
January 18	Atlanta	1 – 10	Buffalo	Hedberg	18,690	23–23–3
January 20	Edmonton	4 – 2	Atlanta	Lehtonen	16,683	23–24–3
January 22	Atlanta	0 – 4	NY Rangers	Lehtonen	18,200	23–25–3
January 24	Atlanta	1 – 2	NY Rangers	Hedberg	18,200	23–25–4
January 30	Pittsburgh	1 – 4	Atlanta	Lehtonen	14,070	24–25–4
