Place	Player	Country	Score	To par	Money ( $ )
1	Horton Smith	United States	74-71-68-72=285	–3	1,500
2	Harry Cooper	United States	70-69-71-76=286	–2	800
3	Gene Sarazen	United States	78-67-72-70=287	–1	600
T4	Bobby Cruickshank	Scotland	75-69-74-72=290	+2	450
T4	Paul Runyan	United States	76-69-70-75=290	+2	450
T6	Ed Dudley	United States	75-75-70-73=293	+5	250
T6	Ky Laffoon	United States	75-70-75-73=293	+5	250
T6	Ray Mangrum	United States	76-73-68-76=293	+5	250
T9	Johnny Dawson (a)	United States	77-70-70-77=294	+6	0
T9	Henry Picard	United States	75-72-74-73=294	+6	150
