Country	2010	2011	2012	2013
Romania	887,763	968,576	997,000	n.a.
Morocco	431,529	452,424	506,369	513,374
Albania	466,684	482,627	491,495	497,761
China	188,352	209,934	277,570	304,768
Ukraine	174,129	200,730	223,782	224,588
Philippines	123,584	134,154	152,382	158,308
India	105,863	121,036	145,164	150,462
Moldova	37.971	130,948	147,519	149,231
Egypt	82,064	90,365	117,145	123,529
Tunisia	103,678	106,291	122,595	121,483
Bangladesh	73,965	82,451	106,671	113,811
Poland	105,608	109,018	112,000	n.a.
Peru	87,747	98,603	107,847	n.a.
Serbia	53,875	52,954	101,554	n.a.
Sri Lanka	75,343	81,094	94,577	n.a.
Pakistan	64,859	75,720	90,185	n.a.
Ecuador	85,940	91,625	89,626	n.a.
Senegal	72,618	80,989	87,311	n.a.
Macedonia	92,847	89,900	82,209	n.a.
