City	Country	IATA	ICAO	Airport
Aalborg	Denmark	AAL	EKYT	Aalborg Airport
Aarhus	Denmark	AAR	EKAH	Aarhus Airport
Aberdeen	United Kingdom	ABZ	EGPD	Aberdeen Airport
Barcelona	Spain	BCN	LEBL	Barcelona Airport
Bergen	Norway	BGO	ENBR	Bergen Airport
Billund	Denmark	BLL	EKBI	Billund Airport
Copenhagen	Denmark	CPH	EKCP	Copenhagen Airport
Vágar	Faroe Islands	FAE	EKVG	Vágar Airport
London	United Kingdom	LGW	EGKK	Gatwick Airport
London	United Kingdom	STN	EGSS	London Stansted Airport
Narsarsuaq	Greenland	UAK	BGBW	Narsarsuaq Airport
Oslo	Norway	OSL	ENGM	Oslo Airport, Gardermoen
Reykjavík	Iceland	RKV	BIRK	Reykjavík Airport
Stavanger	Norway	SVG	ENZV	Stavanger Airport
Stockholm	Sweden	ARN	ESSA	Stockholm-Arlanda Airport
Sumburgh	United Kingdom	LSI	EGPB	Sumburgh Airport
