Heat	Lane	Name	Country	Mark	React
1	4	Susanna Kallur	Sweden	7.87	0.259
1	8	Lacena Golding-Clarke	Jamaica	8.01	0.230
1	2	Eline Berings	Belgium	8.05 NR	0.151
1	6	Angela Whyte	Canada	8.16	0.221
1	7	Reïna-Flor Okori	France	8.18	0.256
1	5	Glory Alozie	Spain	8.19 SB	0.173
1	3	Esen Kizildag	Turkey	8.33 SB	0.277
2	2	Nevin Yanit	Turkey	8.09	0.255
2	4	Yuliya Kondakova	Russia	8.13	0.187
2	5	Cindy Billaud	France	8.20	0.151
2	3	Yauhenia Valadzko	Belarus	8.27	0.257
2	7	Toyin Augustus	Nigeria	8.46	0.233
2	8	Priscilla Lopes-Schliep	Canada	8.66	0.206
2	6	Fadwa Al Bouza	Syria	9.06 SB	0.272
3	2	Anay Tejeda	Cuba	7.93	0.133
3	5	Micol Cattaneo	Italy	8.02 PB	0.149
3	3	Candice Davis	United States	8.02	0.149
3	4	Miriam Bobková	Slovakia	8.08	0.181
3	7	Kia Davis	Liberia	8.14	0.195
3	6	Flóra Redoúmi	Greece	DNF	0.242
4	7	Josephine Onyia	Spain	7.84 PB	0.171
4	4	LoLo Jones	United States	7.96	0.184
4	5	Aleksandra Antonova	Russia	8.05	0.123
4	8	Sarah Claxton	United Kingdom	8.12	0.207
4	6	Yevgeniya Snihur	Ukraine	8.16	0.134
4	3	Denisa Šcerbová	Czech Republic	8.42	0.235
4	2	Anne Møller	Denmark	8.54	0.256
