Name	Height	Weight	Class	Position	Hometown
Keith Fitzhugh	5'11"	206lbs.	Jr.	S	Hampton, Georgia
Robert Elliot	6'	192lbs.	Fr.	RB	Okolona, Mississippi
Derek Pegues	5'10"	196lbs.	Jr.	S	Batesville, Mississippi
Tony Burks	6'4"	217lbs.	Sr.	WR	Gulfport, Mississippi
Gabe O'Neal	6'1"	220lbs.	Sr.	LB	Columbus, Mississippi
Demario Bobo	6'	180lbs.	Jr.	S	Courtland, Mississippi
Michael Henig	6'1"	195lbs.	Jr.	QB	Montgomery, Alabama
De'Mon Glanton	6'1"	190lbs.	Jr.	S	Atlanta, Georgia
Keon Humphries	5'10"	180lbs.	Jr.	CB	Montgomery, Alabama
Dominic Douglas	6'2"	227lbs.	Jr.	LB	Clinton, Mississippi
Anthony Johnson	5'10"	194lbs.	So.	CB	Jackson, Mississippi
Wesley Carroll	6'1"	190lbs.	Fr.	QB	Ft. Lauderdale, Florida
Chris Relf	6'3"	211lbs.	Fr.	QB	Montgomery, Alabama
Co-Eric Riley	6'1"	200lbs.	Jr.	WR	Lucedale, Mississippi
Zack Harrington	6'	185lbs.	So.	QB	Hattiesburg, Mississippi
Josh Riddell	6'1"	195lbs.	Jr.	QB	Salem, Oregon
Marcus Washington	5'10"	180lbs.	So.	CB	Missouri City, Texas
Anthony Summers	6'2"	188lbs.	So.	S	Olive Branch, Mississippi
Wade Bonner	5'10"	180lbs.	Fr.	CB	Mason, Tennessee
Jamar Chaney	6'1"	236lbs.	Jr.	LB	Ft. Pierce, Florida
Jasper O'Quinn	5'10"	185lbs.	Jr.	CB	Bude, Mississippi
Anthony Dixon	6'1"	240lbs.	So.	RB	Jackson, Mississippi
Tyler Threadgill	5'10"	190lbs.	Sr.	WR	Philadelphia, Mississippi
Damein Anderson	5'11"	175lbs.	Fr.	CB	Hazlehurst, Mississippi
Jarvis Williams	5'11"	170lbs.	So.	CB	Jackson, Mississippi
Jarvis Kyles	6'	185lbs.	So.	CB	Milledgeville, Georgia
Tay Bowser	6'3"	185lbs.	So.	CB	Gilmer, Texas
Christian Ducré	6'	222lbs.	So.	RB	Mandeville, Louisiana
Arnil Stallworth	5'10"	200lbs.	So.	RB	Daphne, Alabama
Jamie Jones	6'	215lbs.	Fr.	LB	Springdale, Arkansas
Marcus Green	6'2"	230lbs.	Fr.	RB	Scooba, Mississippi
Justin Williams	5'10"	207lbs.	Sr.	RB	Tallulah, Louisiana
K.J. Wright	6'3"	215lbs.	Fr.	LB	Olive Branch, Mississippi
Brandon Hart	5'11"	240lbs.	Jr.	FB	LaGrange, Georgia
Jamon Hughes	6'	230lbs.	So.	LB	Rolling Fork, Mississippi
Adam Carlson	6'4"	195lbs.	Jr.	K	Gulfport, Mississippi
Eric Hoskins	5'11"	230lbs.	Jr.	FB	Weir, Mississippi
Tim Bailey	6'3"	241lbs.	Jr.	DE	Glen Allan, Mississippi
Chris Nance	5'10"	182lbs.	Jr.	CB	Tuscumbia, Alabama
Brad Moore	6'1"	190lbs.	RS Fr.	K	Starkville, Mississippi
Eric Richards	6'4"	227lbs.	Fr.	K	Vicksburg, Mississippi
Zach Smith	6'	180lbs.	Fr.	S	Altoona, Alabama
Blake McAdams	5'10"	190lbs.	Jr.	P	Ripley, Tennessee
Emmanuel Gatling	6'2"	200lbs.	RS Fr.	S	McAllen, Texas
Ethan Stockett	6'1"	255lbs.	Fr.	FB	Ft. Smith, Arkansas
Ben Shelton	5'11"	196lbs.	Sr.	WR	Vicksburg, Mississippi
Aaron Feld	6'1"	225lbs.	RS Fr.	LS	Homewood, Alabama
Ryan Mason	6'4"	217lbs.	Jr.	WR	Mobile, Alabama
Dezmond Sherrod	6'3"	245lbs.	Sr.	TE	Caledonia, Mississippi
Terrell Johnson	6'2"	210lbs.	Fr.	LB	Silas, Alabama
Taurus Young	5'8"	228lbs.	Jr.	RB	Kilmichael, Mississippi
Devon Edwards	6'	217lbs.	Fr.	LB	Coffeeville, Alabama
Avery Hannibal	6'1"	240lbs.	Sr.	DE	LaGrange, Georgia
Karlin Brown	5'9"	195lbs.	Fr.	LB	Tallahassee, Florida
Anthony Strauder	6'3"	290lbs.	Jr.	OG	Natchez, Mississippi
Titus Brown	6'3"	250lbs.	Sr.	DE	Tuscaloosa, Alabama
Quentin Saulsberry	6'3"	286lbs.	Fr.	DT	Coldwater, Mississippi
Anthony Littlejohn	6'1"	230lbs.	Jr.	LB	Jacksonville, Florida
Johnny Carpenter	6'2"	290lbs.	So.	C	Citronelle, Alabama
Mark Brown	5'11"	225lbs.	So.	LB	Madison, Mississippi
J.D. Hamilton	6'4"	300lbs.	Sr.	OT	Natchez, Mississippi
Mark Lynn	6'	210lbs.	RS Fr.	LB	Madison, Mississippi
Addison Lawrence	6'4"	265lbs.	Fr.	OT	Coldwater, Mississippi
Chris Spencer	6'3"	305lbs.	So.	OG	Meridian, Mississippi
Anthony Bowles	5'11"	220lbs.	Jr.	LS	Grenada, Mississippi
D.J. Looney	6'1"	290lbs.	Fr.	C	Birmingham, Alabama
Roland Terry	6'7"	298lbs.	Jr.	OT	Meridian, Mississippi
