Year	Theme	Artist	Mintage	Issue Price
1998	Year of the Tiger	Harvey Chan	68,888	$68.88
1999	Year of the Rabbit	Harvey Chan	88,634	$72.88
2000	Year of the Dragon	Harvey Chan	88,888	$72.88
2001	Year of the Snake	Harvey Chan	60,754	$78.88
2002	Year of the Horse	Harvey Chan	59,395	$78.88
2003	Year of the Goat	Harvey Chan	53,714	$78.88
2004	Year of the Monkey	Harvey Chan	46,182	$83.88
2005	Year of the Rooster	Harvey Chan	44,691	$83.88
2006	Year of the Dog	Harvey Chan	41,617	$88.88
2007	Year of the Pig	Harvey Chan	48,888	$88.88
2008	Year of the Rat	Harvey Chan	48,888	$88.88
2009	Year of the Ox	Harvey Chan	48,888	$88.88
