Place	Weightlifter	Body weight	one hand snatch	one hand clean & jerk	Press	Snatch	1.	2.	3.	Total
1	Carlo Galimberti ( ITA )	73.5	77.5	95	97.5	95	122.5	127.5	X (130)	492.5
2	Alfred Neuland ( EST )	73.5	82.5	90	77.5	90	100	115	X (125)	455
3	Jaan Kikkas ( EST )	72.5	70	87.5	80	85	115	120	127.5	450
4	Ahmed Samy ( EGY )	74.0	72.5	77.5	97.5	85	110	115	X (120)	447.5
5	Albert Aeschmann ( SUI )	73.0	67.5	87.5	82.5	87.5	X (112.5)	112.5	117.5	442.5
6	Roger François ( FRA )	73.3	70	80	87.5	87.5	107.5	112.5	117.5	442.5
7	Rupert Eidler ( AUT )	73.0	65	90	82.5	85	110	115	X (120)	437.5
8	Pierre Vibert ( FRA )	71.5	72.5	75	80	85	110	115	X (120)	427.5
9	Josef Gill ( AUT )	74.0	60	85	85	80	X (110)	110	X (120)	420
10	Dante Figoli ( ITA )	74.6	65	77.5	82.5	77.5	105	X (110)	X (110)	407.5
11	Ángel Rovere ( ARG )	73.0	62.5	72.5	72.5	85	105	110	112.5	405
12	Alfredo Pianta ( ARG )	71.5	62.5	80	75	80	100	105	X (110)	402.5
13	M. Van der Goten ( BEL )	72.0	60	75	72.5	85	105	110	X (115)	402.5
14	Enrico Pucci ( ITA )	74.3	65	77.5	75	75	100	105	X (110)	397.5
15	Josef Tomáš ( TCH )	72.5	60	72.5	80	70	X (110)	110	X (115)	392.5
16	V. Van Hamme ( BEL )	71.0	60	75	70	75	105	110	X (112.5)	390
17	Charles Attenborough ( GBR )	73.8	65	65	80	75	95	100	102.5	387.5
18	Nils Lidman ( SWE )	72.2	62.5	75	65	75	X (100)	100	105	382.5
19	Michel Mertens ( LUX )	73.0	60	70	80	75	95	X (100)	X (102.5)	380
20	Marcel Horsch ( BEL )	73.7	55	67.5	77.5	80	X (100)	100	X (105)	380
21	Léon Vandeputte ( FRA )	70.2	77.5	85	NM	90	120	X (125)	X (125)	372.5
22	John Austin ( GBR )	71.2	55	70	60	75	95	100	X (105)	360
22	Robert Lowes ( GBR )	72.5	50	65	70	70	95	X (100)	X (100)	350
24	Rudolf Edinger ( AUT )	72.1	62.5	NM	95	80	X (110)	110	X (120)	347.5
